date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,138.8,139.36,137.18,138.3,137.9612,48958837,
2023-09-18,137.63,139.93,137.63,138.96,138.6196,16233590,
2023-09-19,138.25,139.175,137.5,138.83,138.4899,15484644,
2023-09-20,138.83,138.84,134.52,134.59,134.2603,21473533,
2023-09-21,132.39,133.19,131.09,131.36,131.0382,22058375,
2023-09-22,131.68,133.01,130.51,131.25,130.9285,17355284,
2023-09-25,130.77,132.22,130.03,132.17,131.8462,14650032,
2023-09-26,130.914,131.405,128.19,129.45,129.1329,20378789,
2023-09-27,129.44,131.72,129.38,131.46,131.1379,18764201,
2023-09-28,130.69,134.1799,130.69,133.13,132.8039,18201389,
2023-09-29,134.08,134.89,131.32,131.85,131.527,23237336,
2023-10-02,132.155,135.36,132.065,135.17,134.8389,19210394,
2023-10-03,134.93,135.24,132.815,133.3,132.9734,19628736,
2023-10-04,133.66,136.57,133.43,136.27,135.9362,22847987,
2023-10-05,136.13,136.5,134.455,135.99,135.6568,15922944,
2023-10-06,134.94,139.1857,134.94,138.73,138.3901,20826683,
2023-10-09,137.99,139.97,136.7,139.5,139.1582,16599099,
2023-10-10,139.51,140.74,138.43,139.2,138.859,19554916,
2023-10-11,139.85,142.22,139.84,141.7,141.3529,20146341,
2023-10-12,142.16,142.38,139.45,140.29,139.9463,18173107,
2023-10-13,140.65,141.34,137.97,138.58,138.2405,19447565,
2023-10-16,139.73,140.905,139.32,140.49,140.1458,17345556,
2023-10-17,140.03,141.25,138.5287,140.99,140.6446,17424024,
2023-10-18,140.75,141.99,138.705,139.28,138.9388,18304869,
2023-10-19,139.8,141.005,138.6,138.98,138.6395,21831181,
2023-10-20,138.59,139.04,136.245,136.74,136.405,24970263,
2023-10-23,136.23,139.02,135.11,137.9,137.5622,20780665,
2023-10-24,139.16,140.7099,138.75,140.12,139.7767,26535198,
2023-10-25,129.77,130.1,126.09,126.67,126.3597,58796067,
2023-10-26,124.47,125.46,122.32,123.44,123.1376,33907363,
2023-10-27,124.03,124.44,121.46,123.4,123.0977,37367673,
2023-10-30,124.46,126.55,123.88,125.75,125.4419,24165631,
2023-10-31,126.27,126.56,123.925,125.3,124.993,21123418,
2023-11-01,125.34,127.74,124.925,127.57,127.2575,26536604,
2023-11-02,129.56,130.09,128.11,128.58,128.265,24091672,
2023-11-03,129.09,130.73,129.01,130.37,130.0506,19529448,
2023-11-06,130.22,131.56,129.93,131.45,131.128,15360362,
2023-11-07,131.98,133.28,131.14,132.4,132.0756,19223786,
2023-11-08,132.36,133.54,132.16,133.26,132.9335,15093598,
2023-11-09,133.36,133.96,131.51,131.69,131.3674,17976533,
2023-11-10,131.53,134.27,130.87,134.06,133.7316,20879838,
2023-11-13,133.36,134.11,132.77,133.64,133.3126,16409856,
2023-11-14,135.65,137.24,135.1,135.43,135.0982,22317345,
2023-11-15,136.64,136.84,135.33,136.38,136.0459,15840883,
2023-11-16,136.96,138.8799,136.08,138.7,138.3602,17615068,
2023-11-17,137.82,138.0,135.48,136.94,136.6045,25590191,
2023-11-20,135.5,138.425,135.49,137.92,137.5821,19589006,
2023-11-21,137.94,138.965,137.705,138.62,138.2804,17648067,
2023-11-22,139.1,141.1,139.0,140.02,139.677,17310209,
2023-11-24,139.54,139.677,137.47,138.22,137.8814,8828640,
2023-11-27,137.57,139.63,137.54,138.05,137.7118,17886389,
2023-11-28,137.63,138.66,137.04,138.62,138.2804,17046868,
2023-11-29,138.985,139.67,136.295,136.4,136.0658,21014715,
2023-11-30,136.4,136.96,132.79,133.92,133.5919,29913531,
2023-12-01,133.32,133.5,132.1517,133.32,132.9934,24267987,
2023-12-04,131.294,131.45,129.4,130.63,130.31,24117083,
2023-12-05,130.37,133.54,129.73,132.39,132.0657,19235145,
2023-12-06,132.9,133.31,131.31,131.43,131.108,16360648,
2023-12-07,136.6,140.0,136.23,138.45,138.1108,38419426,
2023-12-08,135.66,137.99,135.57,136.64,136.3053,23016139,
2023-12-11,133.82,134.79,132.89,134.7,134.37,24502860,
2023-12-12,133.27,134.54,132.83,133.64,133.3126,26583981,
2023-12-13,134.545,134.78,132.95,133.97,133.6418,25414461,
2023-12-14,134.77,135.035,131.06,133.2,132.8737,29619098,
2023-12-15,132.92,134.83,132.63,133.84,133.5121,58594004,
2023-12-18,133.86,138.38,133.77,137.19,136.8539,25699767,
2023-12-19,138.0,138.77,137.45,138.1,137.7617,20661000,
2023-12-20,140.33,143.0783,139.41,139.66,139.3179,33507342,
2023-12-21,140.77,142.03,140.4725,141.8,141.4526,18101476,
2023-12-22,142.13,143.25,142.055,142.72,142.3704,18513524,
2023-12-26,142.98,143.945,142.5001,142.82,142.4701,11170066,
2023-12-27,142.83,143.32,141.0512,141.44,141.0935,17288358,
2023-12-28,141.85,142.27,140.8283,141.28,140.9339,12192549,
2023-12-29,140.68,141.435,139.9,140.93,140.5847,14880961,
2024-01-02,139.6,140.6147,137.74,139.56,139.2181,20071885,
2024-01-03,138.6,141.09,138.43,140.36,140.0161,18974308,
2024-01-04,139.85,140.635,138.01,138.04,137.7018,18253331,
2024-01-05,138.352,138.81,136.85,137.39,137.0534,15439475,
2024-01-08,138.0,140.64,137.88,140.53,140.1857,17645293,
2024-01-09,140.06,142.7998,139.79,142.56,142.2107,19579667,
2024-01-10,142.52,144.525,142.46,143.8,143.4477,16641881,
2024-01-11,144.895,146.66,142.215,143.67,143.318,17471130,
2024-01-12,144.34,144.74,143.36,144.24,143.8866,13998729,
2024-01-16,143.43,145.84,143.0564,144.08,143.727,19198939,
2024-01-17,142.91,143.41,140.51,142.89,142.5399,17884548,
2024-01-18,143.44,145.585,143.35,144.99,144.6348,18876800,
2024-01-19,146.305,148.04,145.8,147.97,147.6075,27181032,
2024-01-22,148.71,150.015,147.58,147.71,147.3481,21829232,
2024-01-23,147.72,148.86,147.19,148.68,148.3158,14113649,
2024-01-24,150.29,151.57,149.84,150.35,149.9817,19245031,
2024-01-25,151.74,154.76,151.22,153.64,153.2636,21495120,
2024-01-26,152.87,154.11,152.8,153.79,153.4132,19494488,
2024-01-29,153.64,155.2,152.92,154.84,154.4607,20909258,
2024-01-30,154.01,155.04,152.775,153.05,152.675,26578934,
2024-01-31,145.39,145.59,141.55,141.8,141.4526,43908584,
2024-02-01,143.69,144.62,142.26,142.71,142.3604,25526855,
2024-02-02,140.89,143.88,138.17,143.54,143.1883,42136127,
2024-02-05,144.04,146.67,143.91,144.93,144.5749,29254444,
2024-02-06,145.96,146.74,144.52,145.41,145.0538,21517655,
2024-02-07,146.12,147.0,145.2103,146.68,146.3207,21436126,
