date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,176.48,176.5,173.82,175.01,174.119,109205100,
2023-09-18,176.48,179.38,176.17,177.97,177.0639,67257600,
2023-09-19,177.52,179.63,177.13,179.07,178.1583,51826900,
2023-09-20,179.26,179.7,175.4,175.49,174.5966,58436200,
2023-09-21,174.55,176.3,173.86,173.93,173.0445,63047900,
2023-09-22,174.67,177.08,174.05,174.79,173.9001,56725400,
2023-09-25,174.2,176.97,174.15,176.08,175.1836,46172700,
2023-09-26,174.82,175.2,171.66,171.96,171.0845,64588900,
2023-09-27,172.62,173.04,169.05,170.43,169.5623,66921800,
2023-09-28,169.34,172.03,167.62,170.69,169.821,56294400,
2023-09-29,172.02,173.07,170.34,171.21,170.3384,51814200,
2023-10-02,171.22,174.3,170.93,173.75,172.8654,52164500,
2023-10-03,172.26,173.63,170.82,172.4,171.5223,49594600,
2023-10-04,171.09,174.21,170.97,173.66,172.7759,53020300,
2023-10-05,173.79,175.45,172.68,174.91,174.0195,48527900,
2023-10-06,173.8,177.99,173.18,177.49,176.5864,57224100,
2023-10-09,176.81,179.05,175.8,178.99,178.0788,42390800,
2023-10-10,178.1,179.72,177.95,178.39,177.4818,43698000,
2023-10-11,178.2,179.85,177.6,179.8,178.8846,47551100,
2023-10-12,180.07,182.34,179.04,180.71,179.79,56743100,
2023-10-13,181.42,181.93,178.14,178.85,177.9395,51427100,
2023-10-16,176.75,179.08,176.51,178.72,177.8101,52517000,
2023-10-17,176.65,178.42,174.8,177.15,176.2481,57549400,
2023-10-18,175.58,177.58,175.11,175.84,174.9448,54764400,
2023-10-19,176.04,177.84,175.19,175.46,174.5667,59302900,
2023-10-20,175.31,175.42,172.64,172.88,171.9999,64189300,
2023-10-23,170.91,174.01,169.93,173.0,172.1193,55980100,
2023-10-24,173.05,173.67,171.45,173.44,172.557,43816600,
2023-10-25,171.88,173.06,170.65,171.1,170.2289,57157000,
2023-10-26,170.37,171.38,165.67,166.89,166.0404,70625300,
