date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,42.76,43.245,42.04,42.46,41.2236,9349781,
2023-09-18,42.96,42.97,41.94,42.71,41.4663,3345463,
2023-09-19,43.26,43.33,41.76,42.17,40.942,2466440,
2023-09-20,41.9,42.5,41.23,41.28,40.0779,3288827,
2023-09-21,41.2,41.44,39.97,40.14,38.9711,3039240,
2023-09-22,40.56,41.04,40.07,40.22,39.0488,2197724,
2023-09-25,40.22,41.05,40.22,41.02,39.8255,1892657,
2023-09-26,40.59,41.52,40.55,41.05,39.8546,2827731,
2023-09-27,41.93,42.95,41.4,42.38,41.1459,4192183,
2023-09-28,42.4,42.72,41.985,42.23,41.0003,2364951,
2023-09-29,42.33,42.43,41.01,41.1,39.9032,3231873,
2023-10-02,41.1,41.15,39.05,39.53,38.3789,4081919,
2023-10-03,39.43,39.76,38.88,39.66,38.5051,2724598,
2023-10-04,38.99,38.99,37.385,38.01,36.9032,3884823,
2023-10-05,37.47,38.28,37.37,37.73,36.6313,2787575,
2023-10-06,38.04,38.201,36.85,37.59,36.4954,5666709,
2023-10-09,38.93,39.47,38.53,39.17,38.0294,5709938,
2023-10-10,39.17,39.34,38.61,38.89,37.7575,4050448,
2023-10-11,38.51,39.0,37.96,38.93,37.7964,2961850,
2023-10-12,39.5,39.5,38.69,39.22,38.0779,2670573,
2023-10-13,40.0,41.41,39.6012,41.25,40.0488,5201181,
2023-10-16,41.66,42.27,41.0,42.19,40.9614,3703334,
2023-10-17,42.1,42.9,42.02,42.43,41.1945,3653604,
2023-10-18,42.78,43.3251,42.369,42.99,41.7382,3288528,
2023-10-19,42.6,43.58,42.09,43.3,42.0391,4062674,
2023-10-20,42.89,43.17,41.89,42.16,41.17,4035177,
2023-10-23,41.59,41.86,41.02,41.19,40.2228,3173340,
2023-10-24,41.49,41.55,40.91,41.0,40.0373,3074713,
2023-10-25,40.93,41.29,40.53,41.02,40.0568,2499118,
2023-10-26,40.42,40.76,39.77,40.42,39.4709,2678063,
2023-10-27,40.48,40.66,39.345,40.13,39.1877,3287565,
2023-10-30,40.09,40.61,39.28,39.68,38.7483,3323226,
2023-10-31,39.79,39.96,39.14,39.72,38.7873,3637984,
2023-11-01,40.06,40.31,39.35,39.61,38.6799,2930812,
2023-11-02,39.03,39.81,38.17,39.69,38.758,7207457,
2023-11-03,39.99,40.93,39.6,39.96,39.0217,4891645,
2023-11-06,40.25,40.3,39.25,39.3,38.3772,3141544,
2023-11-07,38.52,38.65,37.45,38.08,37.1858,3994711,
2023-11-08,37.9,38.02,36.64,36.71,35.848,4417206,
2023-11-09,37.03,37.3,36.285,36.36,35.5062,3833173,
2023-11-10,36.67,37.07,36.44,36.92,36.0531,2501322,
2023-11-13,37.18,37.18,36.475,36.65,35.7894,3169418,
2023-11-14,36.81,37.825,36.75,37.57,36.6878,3475379,
2023-11-15,37.32,38.27,37.24,37.31,36.4339,3379661,
2023-11-16,36.75,36.87,35.34,35.85,35.0082,6600113,
2023-11-17,36.35,37.27,35.97,36.87,36.0042,5056333,
2023-11-20,37.36,37.7,36.97,37.0,36.1312,3280737,
2023-11-21,36.68,37.045,36.24,36.62,35.7601,2167023,
2023-11-22,34.81,36.6081,34.65,36.56,35.7015,4495894,
2023-11-24,36.47,37.07,36.47,36.88,36.014,1600378,
2023-11-27,36.47,36.6,35.995,36.34,35.4867,3670869,
2023-11-28,36.43,36.74,36.12,36.38,35.5257,3073193,
2023-11-29,36.63,36.785,36.185,36.31,35.4574,2557262,
2023-11-30,36.73,37.13,35.56,36.0,35.1547,5839748,
2023-12-01,35.98,37.06,35.96,36.2,35.35,3209195,
2023-12-04,35.74,36.245,35.585,35.82,34.9789,3607608,
2023-12-05,36.09,36.14,34.775,34.79,33.9731,3070948,
2023-12-06,34.4,34.92,33.93,34.03,33.2309,4374937,
