date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,36.5,36.62,35.97,36.16,35.2459,12204900,
2023-09-18,36.42,36.64,36.12,36.46,35.5384,7906700,
2023-09-19,36.66,36.87,35.89,36.18,35.2654,7427200,
2023-09-20,36.1,36.54,35.79,35.8,34.895,6240300,
2023-09-21,35.9,36.01,35.05,35.06,34.1737,7114700,
2023-09-22,35.16,35.62,35.16,35.4,34.5052,5006000,
2023-09-25,35.33,36.04,35.31,35.9,34.9925,5353800,
2023-09-26,35.67,36.04,35.62,35.71,34.8073,6450200,
2023-09-27,36.16,36.44,35.8,36.25,35.3337,6932300,
2023-09-28,36.25,36.85,36.2,36.59,35.6651,5879800,
2023-09-29,36.54,36.6,35.17,35.32,34.4272,8093900,
2023-10-02,35.2,35.35,34.09,34.56,33.6864,6952700,
2023-10-03,34.32,34.83,34.28,34.53,33.6571,5839400,
2023-10-04,34.04,34.11,33.03,33.14,32.3023,7840900,
2023-10-05,32.88,33.47,32.79,33.35,32.507,6898100,
2023-10-06,33.37,33.97,33.03,33.73,32.8774,6259300,
2023-10-09,34.84,34.98,34.46,34.8,33.9203,6507900,
2023-10-10,34.76,35.15,34.64,34.9,34.0178,6256800,
2023-10-11,34.57,34.92,34.28,34.9,34.0178,3845200,
2023-10-12,35.3,35.3,34.44,34.77,33.8911,3978700,
2023-10-13,35.36,35.4,34.78,34.85,33.9691,6614200,
2023-10-16,35.1,35.36,34.79,35.17,34.281,5747300,
2023-10-17,35.02,35.8,34.99,35.61,34.7098,4621400,
2023-10-18,35.79,36.01,35.48,35.72,34.8171,5061900,
2023-10-19,35.58,36.13,35.19,35.58,34.6806,4229700,
2023-10-20,35.45,35.56,34.44,34.84,33.9593,5258300,
2023-10-23,34.65,35.0,34.41,34.67,33.7936,6111500,
2023-10-24,34.78,35.02,34.38,34.48,33.6084,6887200,
2023-10-25,34.39,34.71,33.96,34.02,33.16,7625300,
2023-10-26,34.38,35.6,34.23,35.02,34.1348,9540400,
2023-10-27,35.18,35.38,34.72,34.81,33.9301,6111700,
2023-10-30,35.05,35.47,34.7,34.96,34.0763,8112900,
2023-10-31,35.02,35.1,34.15,34.42,33.5499,6800800,
2023-11-01,34.49,35.26,34.27,34.84,33.9593,9178100,
2023-11-02,35.0,35.71,34.97,35.51,34.6124,10112400,
2023-11-03,35.53,35.54,34.95,35.19,34.4947,5518000,
2023-11-06,35.35,35.65,34.79,34.94,34.2497,4190700,
2023-11-07,34.43,34.58,33.81,33.86,33.191,9759200,
2023-11-08,33.64,34.19,33.57,33.74,33.0734,10744900,
2023-11-09,33.96,34.16,33.76,33.92,33.2498,7238600,
2023-11-10,34.42,34.5,34.11,34.34,33.6615,10032600,
2023-11-13,34.33,34.62,34.22,34.47,33.789,7519100,
2023-11-14,34.69,34.85,34.4,34.7,34.0144,12074200,
2023-11-15,34.52,35.19,34.48,34.66,33.9752,8082200,
2023-11-16,34.37,34.62,32.76,33.24,32.5833,7517200,
2023-11-17,33.68,33.96,33.49,33.71,33.044,7981600,
2023-11-20,33.8,34.07,33.73,33.87,33.2008,7449000,
2023-11-21,33.8,34.04,33.68,33.91,33.24,7752500,
2023-11-22,33.25,33.62,32.79,33.58,32.9166,6071600,
2023-11-24,33.59,34.16,33.59,33.89,33.2204,2408200,
2023-11-27,33.85,34.05,33.49,33.97,33.2988,4431400,
2023-11-28,34.0,34.21,33.61,33.82,33.1518,5723700,
2023-11-29,33.88,33.97,33.14,33.34,32.6813,5604400,
2023-11-30,33.59,34.19,33.1,33.75,33.0832,9304800,
2023-12-01,33.67,34.41,33.46,33.79,33.1224,5960000,
2023-12-04,33.53,33.82,33.12,33.75,33.0832,6720400,
2023-12-05,33.66,33.68,32.69,32.8,32.152,5627400,
2023-12-06,32.65,32.82,31.66,31.86,31.2305,7469800,
2023-12-07,32.17,32.25,31.42,31.73,31.1031,8725800,
2023-12-08,31.86,32.28,31.75,32.24,31.603,8443800,
2023-12-11,32.48,32.96,32.45,32.51,31.8677,6024100,
2023-12-12,32.2,32.36,31.84,32.3,31.6618,5850000,
2023-12-13,32.34,32.78,32.13,32.6,31.9559,7659900,
2023-12-14,32.99,33.8,32.94,33.54,32.8773,7770000,
2023-12-15,33.48,33.6,32.9,33.58,32.9166,19746900,
2023-12-18,34.35,34.85,33.94,34.07,33.3969,5717300,
2023-12-19,34.24,34.43,33.9,34.07,33.3969,6660500,
2023-12-20,34.14,34.68,33.97,34.03,33.3577,4771300,
2023-12-21,34.03,34.12,33.72,34.04,33.3675,5286500,
2023-12-22,34.39,34.41,34.0,34.12,33.4459,6369500,
2023-12-26,34.53,34.88,34.45,34.78,34.0928,2872900,
2023-12-27,34.72,34.92,34.44,34.49,33.8086,2961200,
2023-12-28,34.36,34.43,34.1,34.2,33.5243,2928000,
2023-12-29,34.22,34.3,34.01,34.18,33.5047,5068500,
2024-01-02,34.43,34.65,33.74,33.93,33.2596,4721100,
2024-01-03,34.03,34.2,33.79,33.92,33.2498,6801700,
2024-01-04,34.12,34.2,33.19,33.25,32.5931,7345200,
2024-01-05,33.47,33.55,33.12,33.42,32.7597,5629300,
2024-01-08,32.7,32.77,31.91,32.44,31.7991,8993500,
2024-01-09,32.35,32.38,31.49,31.62,30.9953,7333600,
2024-01-10,31.64,31.64,30.96,31.23,30.613,8471200,
2024-01-11,31.34,31.5,31.03,31.17,30.5542,8339800,
2024-01-12,31.69,31.78,30.87,31.52,30.8973,12546200,
2024-01-16,31.32,31.41,30.62,30.67,30.064,7541100,
2024-01-17,30.31,30.92,30.14,30.79,30.1817,7311200,
2024-01-18,30.73,30.98,30.51,30.87,30.2601,5717900,
2024-01-19,30.99,31.01,30.58,30.7,30.0935,9749900,
2024-01-22,30.6,31.15,30.45,30.98,30.3679,7177200,
2024-01-23,30.76,31.66,30.76,31.53,30.9071,14531600,
2024-01-24,30.25,31.1,29.66,30.04,29.4465,20069600,
2024-01-25,30.46,30.6,29.71,30.3,29.7014,21034700,
2024-01-26,30.26,30.59,29.85,30.48,29.8778,12352600,
2024-01-29,30.22,30.32,29.83,30.0,29.4073,11490300,
2024-01-30,28.74,29.53,28.34,29.34,28.7603,23727200,
2024-01-31,29.43,29.49,28.43,28.5,27.9369,10664400,
2024-02-01,28.66,28.88,28.37,28.63,28.0643,11208700,
2024-02-02,28.7,29.14,28.58,28.99,28.4172,12945800,
2024-02-05,28.68,28.94,28.32,28.8,28.231,11840600,
2024-02-06,28.86,29.62,28.79,29.39,28.8093,13403700,
2024-02-07,29.47,29.69,29.09,29.12,28.5447,9040000,
2024-02-08,28.99,29.46,28.91,29.32,28.7407,9029100,
2024-02-09,29.31,29.46,28.83,29.06,28.4859,7661400,
2024-02-12,28.98,29.6,28.95,29.5,29.1276,9720400,
2024-02-13,29.43,29.55,28.7,29.01,28.6438,9740500,
2024-02-14,29.2,29.22,28.63,28.85,28.4859,8119000,
2024-02-15,28.91,29.39,28.79,29.2,28.8314,10899100,
2024-02-16,29.2,29.32,28.94,29.15,28.7821,7398000,
2024-02-20,28.86,29.09,28.66,29.05,28.6833,8362400,
2024-02-21,29.13,29.4,29.0,29.34,28.9697,10578100,
2024-02-22,29.29,29.47,29.01,29.2,28.8314,9427400,
2024-02-23,29.0,30.09,28.88,29.89,29.5127,13039800,
2024-02-26,29.73,30.39,29.67,29.84,29.4634,9822900,
2024-02-27,30.05,30.05,29.53,29.72,29.3449,6600300,
2024-02-28,29.6,29.75,29.19,29.48,29.1079,6079000,
2024-02-29,29.75,29.86,29.37,29.59,29.2165,12879500,
2024-03-01,29.59,30.13,29.51,29.96,29.5818,6317400,
2024-03-04,30.0,30.03,29.36,29.43,29.0585,6157400,
2024-03-05,29.44,30.19,29.3,30.17,29.7892,8765100,
2024-03-06,30.47,30.86,30.41,30.56,30.1743,10371600,
2024-03-07,30.64,31.06,30.58,30.83,30.4409,9733000,
2024-03-08,30.71,30.91,30.44,30.6,30.2138,5547300,
2024-03-11,30.67,31.39,30.52,31.3,30.9049,6927000,
2024-03-12,31.41,31.62,31.12,31.49,31.0925,7136800,
2024-03-13,31.7,31.95,31.38,31.75,31.3492,6897800,
2024-03-14,31.76,32.21,31.76,31.94,31.5369,6947300,
2024-03-15,31.93,32.45,31.92,32.32,31.9121,15268100,
2024-03-18,32.49,32.54,32.08,32.39,31.9812,5899400,
2024-03-19,32.41,33.32,32.41,33.22,32.8007,6548000,
