date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,124.05,125.99,123.19,123.57,119.8293,12440960,
2023-09-18,125.18,125.73,124.07,124.48,120.7118,4945258,
2023-09-19,125.84,126.03,122.18,123.16,119.4318,4193297,
2023-09-20,122.63,123.81,121.055,121.17,117.502,3444949,
2023-09-21,122.03,122.16,118.75,119.07,115.4656,4470852,
2023-09-22,119.92,121.18,119.04,119.16,115.5528,3641227,
2023-09-25,119.29,121.265,118.89,121.07,117.405,3291260,
2023-09-26,119.8,121.44,119.34,120.14,116.5032,5204548,
2023-09-27,121.715,123.92,120.8,123.09,119.9619,5364088,
2023-09-28,122.86,124.305,122.18,122.72,119.6013,3964642,
2023-09-29,122.48,122.61,119.64,119.8,116.7555,5308920,
2023-10-02,120.24,120.305,115.96,117.1,114.1241,4769473,
2023-10-03,116.76,117.67,116.07,117.6,114.6114,4162818,
2023-10-04,115.32,115.63,111.67,113.33,110.4499,7287593,
2023-10-05,112.51,114.58,112.19,113.42,110.5376,4070087,
2023-10-06,114.38,116.59,113.16,115.33,112.3991,4209663,
2023-10-09,118.96,121.87,118.75,121.82,118.7242,6532807,
2023-10-10,121.25,122.235,120.19,120.39,117.3305,5705550,
2023-10-11,119.5,120.19,118.03,120.04,116.9894,7300713,
2023-10-12,121.08,121.725,120.46,121.11,118.0322,3859459,
2023-10-13,124.06,125.97,123.43,124.86,121.6869,5592376,
2023-10-16,125.58,126.12,124.18,125.31,122.1255,3769643,
2023-10-17,125.2,126.43,124.94,125.46,122.2717,4213810,
2023-10-18,126.21,127.24,125.45,126.59,123.3729,4781897,
2023-10-19,125.69,127.35,124.8721,126.38,123.1683,4491345,
2023-10-20,126.19,126.67,123.86,124.06,120.9072,5289405,
2023-10-23,123.06,123.16,120.64,121.34,118.2564,5969409,
2023-10-24,121.57,121.99,119.9,119.95,116.9017,4664482,
2023-10-25,119.53,120.93,118.77,120.41,117.35,5010668,
2023-10-26,118.73,119.16,117.25,118.31,115.3034,6066469,
2023-10-27,117.7,118.34,116.435,117.8,114.8063,5312460,
2023-10-30,117.78,118.5,116.51,118.14,115.1377,5830549,
2023-10-31,117.9,118.99,116.49,118.8,115.7809,4504952,
2023-11-01,119.48,119.765,116.49,116.67,113.705,8350870,
2023-11-02,117.87,123.25,117.37,122.02,118.9191,9068754,
2023-11-03,121.5,121.89,119.35,119.75,116.7068,5935585,
2023-11-06,120.24,120.56,118.19,118.47,115.4593,4611040,
2023-11-07,116.42,116.5,114.33,115.25,112.3211,5490996,
2023-11-08,115.2,115.62,113.97,114.45,111.5415,5884491,
2023-11-09,115.65,116.07,114.05,114.15,111.2491,4306290,
2023-11-10,115.24,116.2062,114.6,115.61,112.672,4603092,
2023-11-13,114.99,115.9113,114.99,115.36,113.0014,3225900,
2023-11-14,116.0,116.81,115.34,115.54,113.1777,5421704,
2023-11-15,115.0,116.665,114.88,115.03,112.6781,4733260,
2023-11-16,113.51,113.76,109.98,111.99,109.7003,6733326,
2023-11-17,112.8,115.53,112.23,114.59,112.2471,5799107,
2023-11-20,114.99,116.575,114.59,115.39,113.0308,4046639,
2023-11-21,115.18,115.63,114.5592,115.17,112.8153,3720155,
2023-11-22,112.02,115.13,111.16,114.85,112.5018,4559075,
2023-11-24,114.89,116.5731,114.86,115.49,113.1287,2159208,
2023-11-27,114.98,115.13,113.36,114.8,112.4529,5289707,
2023-11-28,115.26,115.975,114.48,114.98,112.6292,3469209,
2023-11-29,115.36,115.56,113.32,113.97,111.6398,6065301,
2023-11-30,115.17,116.7,113.64,115.57,113.2071,10242740,
2023-12-01,115.03,117.04,114.85,115.23,112.8741,4675800,
2023-12-04,114.08,115.92,113.8801,114.53,112.1884,4824795,
2023-12-05,114.73,114.9,113.04,113.14,110.8268,5821399,
2023-12-06,112.33,112.33,109.735,110.52,108.2604,7489627,
2023-12-07,111.32,111.905,110.65,110.85,108.5836,5816770,
2023-12-08,111.74,112.19,111.06,112.07,109.7787,5713905,
2023-12-11,112.12,112.63,111.54,112.16,109.8668,7250110,
2023-12-12,110.77,111.475,109.7,111.06,108.7893,6888838,
2023-12-13,111.5,112.255,110.87,111.85,109.5632,8570114,
2023-12-14,112.95,116.3502,112.75,114.95,112.5998,11490420,
2023-12-15,114.35,115.74,113.62,114.54,112.1982,30860369,
2023-12-18,115.83,117.2683,114.65,114.9,112.5508,7000685,
2023-12-19,114.95,116.64,114.25,116.49,114.1083,6379264,
2023-12-20,116.87,118.94,116.38,116.69,114.3042,7767197,
2023-12-21,116.5,116.88,115.28,116.83,114.4413,4149328,
2023-12-22,118.0,118.63,117.29,117.66,115.2544,4299453,
2023-12-26,118.7,119.43,118.38,119.02,116.5866,2893651,
2023-12-27,118.51,119.64,118.08,118.49,116.0674,3441412,
2023-12-28,117.66,118.2,116.44,116.5,114.1181,3711359,
2023-12-29,117.21,117.55,115.813,116.07,113.6969,3643582,
2024-01-02,117.17,118.8,116.85,117.59,115.1858,4688408,
2024-01-03,117.95,120.18,117.405,119.93,117.478,4882068,
