date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,28.29,28.55,27.9,27.92,27.0508,10824100,
2023-09-18,28.07,28.16,27.54,27.9,27.0314,5810000,
2023-09-19,28.22,28.22,27.43,27.54,26.6826,5212200,
2023-09-20,27.26,27.63,26.9,26.92,26.0819,4993300,
2023-09-21,27.01,27.07,25.98,26.1,25.2875,7253000,
2023-09-22,26.31,26.72,26.03,26.05,25.239,8300700,
2023-09-25,26.1,26.75,26.1,26.57,25.7428,6055000,
2023-09-26,26.2,26.69,26.17,26.34,25.52,5263300,
2023-09-27,26.84,27.3,26.66,27.14,26.2951,4937100,
2023-09-28,27.06,27.64,27.04,27.53,26.6729,4868100,
2023-09-29,27.47,27.6,27.01,27.05,26.2079,4998400,
2023-10-02,26.95,26.99,26.13,26.32,25.5006,7588900,
2023-10-03,26.32,26.43,26.0,26.34,25.52,5016300,
2023-10-04,26.18,26.29,25.44,25.83,25.0259,7253800,
2023-10-05,25.66,26.21,25.62,26.11,25.2972,6375800,
2023-10-06,26.45,27.13,26.36,26.8,25.9657,7574800,
2023-10-09,27.39,28.17,27.31,28.15,27.2736,7501600,
2023-10-10,28.2,28.36,28.05,28.09,27.2155,4565500,
2023-10-11,28.0,28.33,27.69,28.25,27.3705,5721600,
2023-10-12,28.31,28.6,28.2,28.57,27.6806,4916700,
2023-10-13,28.99,29.33,28.81,29.09,28.1844,6189800,
2023-10-16,29.1,29.24,28.87,29.21,28.3006,4124200,
2023-10-17,29.17,29.59,29.17,29.4,28.4847,5023100,
2023-10-18,29.64,29.89,29.5,29.71,28.7851,4969500,
2023-10-19,29.71,29.79,29.44,29.6,28.6785,4505000,
2023-10-20,29.49,29.55,28.84,28.93,28.0294,5296300,
2023-10-23,28.67,28.75,28.3,28.4,27.5159,5862400,
2023-10-24,28.61,28.7,28.34,28.36,27.4771,4679300,
2023-10-25,28.37,28.53,28.09,28.23,27.3512,6799200,
2023-10-26,27.87,28.29,27.64,27.92,27.0508,11157800,
2023-10-27,28.04,28.07,27.52,27.7,26.8377,6661700,
2023-10-30,27.56,27.76,27.05,27.33,26.4792,7163400,
2023-10-31,27.45,27.62,27.19,27.5,26.6439,7943900,
2023-11-01,27.49,27.93,27.22,27.55,26.6923,6438000,
2023-11-02,27.46,28.26,27.28,28.07,27.1961,9721400,
2023-11-03,28.13,28.25,27.88,28.04,27.1671,8818400,
2023-11-06,28.04,28.12,27.19,27.44,26.5858,8123700,
2023-11-07,27.75,28.04,27.17,27.45,26.5954,13972800,
2023-11-08,27.41,27.57,26.78,26.88,26.0432,9768000,
2023-11-09,27.04,27.13,26.57,26.8,25.9657,10085400,
2023-11-10,27.11,27.17,26.7,26.97,26.1304,7132700,
2023-11-13,27.14,27.16,26.86,26.99,26.1498,5308200,
2023-11-14,27.02,27.45,26.96,27.21,26.3629,5503400,
2023-11-15,27.08,27.46,27.05,27.15,26.4996,5005100,
2023-11-16,26.8,27.06,26.21,26.33,25.6992,7859400,
2023-11-17,26.52,27.04,26.46,26.75,26.1091,7282500,
2023-11-20,26.91,26.94,26.46,26.68,26.0408,4954500,
2023-11-21,26.59,26.69,26.35,26.53,25.8944,4355400,
2023-11-22,26.02,26.68,25.76,26.67,26.0311,5048500,
2023-11-24,26.55,26.83,26.48,26.77,26.1287,2172900,
2023-11-27,26.59,26.59,26.12,26.27,25.6406,4951500,
2023-11-28,26.37,26.6,26.06,26.07,25.4454,5316700,
2023-11-29,26.14,26.26,25.97,26.09,25.465,4174400,
2023-11-30,26.29,26.64,25.96,26.25,25.6211,8915600,
2023-12-01,26.2,26.55,26.1,26.14,25.5138,6020100,
2023-12-04,25.88,26.22,25.72,25.79,25.1721,8082100,
2023-12-05,25.9,25.96,25.33,25.34,24.7329,5458000,
2023-12-06,25.19,25.29,24.67,24.78,24.1863,8607400,
2023-12-07,24.96,25.02,24.45,24.58,23.9911,8554000,
2023-12-08,24.71,24.8,24.55,24.7,24.1083,4828700,
2023-12-11,24.56,24.9,24.4,24.86,24.2644,7848000,
2023-12-12,24.59,24.62,24.28,24.42,23.835,6526500,
2023-12-13,24.5,24.7,24.25,24.66,24.0692,8660800,
2023-12-14,25.01,25.58,25.01,25.57,24.9574,9206900,
2023-12-15,25.37,25.47,24.96,25.13,24.528,19495400,
2023-12-18,25.82,25.96,25.5,25.53,24.9184,6777100,
2023-12-19,25.37,25.67,25.26,25.66,25.0453,4871300,
2023-12-20,25.7,25.83,25.18,25.23,24.6256,5341600,
2023-12-21,25.39,25.76,25.28,25.74,25.1233,4782900,
2023-12-22,25.9,25.95,25.7,25.78,25.1624,3900800,
2023-12-26,25.88,26.07,25.79,25.91,25.2893,2895400,
2023-12-27,25.96,26.09,25.71,25.83,25.2112,3249000,
2023-12-28,25.86,26.0,25.65,25.65,25.0355,3720500,
2023-12-29,25.68,25.77,25.44,25.52,24.9086,4072000,
2024-01-02,25.71,25.95,25.57,25.69,25.0745,5233400,
2024-01-03,25.7,25.98,25.57,25.89,25.2697,4181100,
2024-01-04,26.06,26.09,25.34,25.39,24.7817,6989300,
2024-01-05,25.66,25.71,25.28,25.66,25.0453,8715300,
2024-01-08,25.22,25.58,24.8,25.55,24.9379,6894100,
2024-01-09,25.62,25.86,25.39,25.75,25.1331,8716800,
2024-01-10,25.55,25.57,25.1,25.37,24.7622,5252000,
2024-01-11,25.47,25.57,25.16,25.18,24.5768,7488900,
2024-01-12,25.64,25.9,25.39,25.57,24.9574,4899900,
2024-01-16,25.35,25.37,24.8,24.82,24.2254,8744700,
2024-01-17,24.6,25.0,24.53,24.59,24.0009,7517900,
2024-01-18,24.56,24.66,24.26,24.61,24.0204,6650200,
2024-01-19,24.51,24.51,24.2,24.38,23.7959,7486700,
2024-01-22,24.25,24.52,24.06,24.35,23.7666,6860500,
2024-01-23,24.27,24.73,24.27,24.63,24.0399,6876900,
2024-01-24,24.82,25.1,24.78,25.02,24.4206,7376400,
2024-01-25,25.19,25.3,24.94,25.26,24.6548,6597300,
2024-01-26,25.34,25.42,24.99,25.29,24.6841,7025000,
