date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,166.21,168.37,165.88,166.5,159.5788,17266500,
2023-09-18,167.87,168.36,166.4,167.22,160.2688,7027600,
2023-09-19,168.69,168.96,166.43,167.2,160.2497,6615100,
2023-09-20,167.07,168.51,166.6,166.69,159.7609,5939100,
2023-09-21,167.12,167.87,165.05,165.19,158.3232,7150000,
2023-09-22,166.23,167.42,165.94,166.28,159.3679,5963000,
2023-09-25,166.33,168.78,165.99,168.71,161.6969,5510000,
2023-09-26,167.44,168.41,166.98,167.8,160.8247,5659200,
2023-09-27,169.37,171.23,168.81,171.04,163.9301,9124400,
2023-09-28,170.55,171.7,169.43,170.59,163.4988,7151800,
2023-09-29,170.49,170.5,167.82,168.62,161.6106,7395200,
2023-10-02,168.34,168.57,165.23,166.54,159.6171,6839600,
2023-10-03,165.92,167.36,165.51,166.93,159.9909,6168600,
2023-10-04,164.7,164.98,161.49,163.04,156.2626,9664700,
2023-10-05,161.42,164.75,161.39,163.9,157.0869,8073000,
2023-10-06,164.31,164.37,158.99,162.23,155.4863,10187400,
2023-10-09,166.38,168.19,164.95,166.72,159.7896,8183500,
2023-10-10,166.77,167.4,165.68,166.54,159.6171,6512900,
2023-10-11,165.07,165.08,160.48,161.1,154.4032,12570700,
2023-10-12,163.26,163.26,160.9,161.23,154.5278,7397000,
2023-10-13,163.41,164.84,162.3,164.06,157.2402,8042800,
2023-10-16,165.34,165.81,163.85,165.4,158.5245,5446000,
2023-10-17,164.83,168.2,164.65,167.59,160.6235,7538300,
2023-10-18,168.47,169.7,167.58,168.92,161.8982,6893500,
2023-10-19,168.7,170.17,167.51,169.1,162.0707,6580200,
2023-10-20,168.41,169.1,166.1,166.83,159.8951,7457300,
2023-10-23,163.3,164.43,160.25,160.68,154.0007,16232400,
2023-10-24,160.89,161.08,156.47,156.65,150.1382,17689900,
2023-10-25,156.94,157.41,155.17,155.87,149.3907,10502400,
2023-10-26,155.01,155.18,153.63,154.75,148.3172,10830400,
2023-10-27,150.72,151.25,143.96,144.35,138.3495,24524300,
2023-10-30,145.66,146.44,144.32,146.09,140.0172,13857100,
2023-10-31,146.1,146.52,144.23,145.73,139.6722,14261300,
2023-11-01,145.98,146.01,143.82,143.98,137.9949,10819600,
2023-11-02,144.54,149.0,143.83,148.76,142.5762,11099100,
2023-11-03,148.3,148.56,146.15,147.61,141.474,13153000,
2023-11-06,148.73,149.33,146.69,147.0,140.8894,10634200,
2023-11-07,145.16,145.61,143.24,144.41,138.407,15054600,
2023-11-08,143.88,144.65,142.25,142.4,136.4806,12654100,
2023-11-09,143.05,143.91,141.78,141.94,136.0397,10359500,
2023-11-10,143.29,143.44,141.73,142.95,137.0077,11988200,
2023-11-13,143.15,144.3,142.85,144.0,138.0141,8747700,
2023-11-14,144.48,145.5,143.86,145.05,139.0204,11224400,
2023-11-15,144.86,146.64,144.41,145.56,139.5092,10052100,
2023-11-16,143.02,143.51,140.74,141.77,137.3011,14031300,
2023-11-17,142.95,145.19,142.4,144.46,139.9063,11075600,
2023-11-20,144.63,145.69,144.27,144.38,139.8288,8062400,
2023-11-21,143.83,144.3,142.7,144.04,139.4995,6783300,
2023-11-22,141.74,144.39,140.72,144.33,139.7804,7216100,
2023-11-24,144.3,145.94,144.2,144.9,140.3324,3861000,
2023-11-27,144.65,144.82,142.85,144.36,139.8095,9850800,
2023-11-28,144.78,146.52,144.06,145.51,140.9232,9746500,
2023-11-29,146.39,146.49,143.06,143.91,139.3736,16417100,
2023-11-30,144.98,146.01,142.03,143.6,139.0734,16276000,
2023-12-01,143.49,146.51,142.6,144.81,140.2453,11905500,
2023-12-04,144.0,145.7,143.25,144.87,140.3034,11842800,
2023-12-05,144.76,145.07,142.63,142.86,138.3567,9597600,
2023-12-06,141.9,144.03,141.35,142.53,138.0371,18079700,
2023-12-07,143.51,144.01,140.99,142.42,137.9306,14786700,
2023-12-08,143.51,144.67,143.12,144.31,139.761,10820300,
2023-12-11,144.84,145.4,143.82,144.35,139.7998,9849600,
2023-12-12,143.17,143.59,141.75,142.5,138.0081,9863900,
2023-12-13,142.17,144.68,141.65,144.61,140.0516,10641300,
2023-12-14,145.85,149.93,145.85,149.93,145.2039,14960500,
2023-12-15,147.32,149.82,147.32,149.35,144.6422,30848700,
2023-12-18,150.83,152.12,149.32,149.68,144.9618,11561700,
2023-12-19,149.96,151.83,149.49,151.64,146.86,8738100,
2023-12-20,152.15,153.06,150.06,150.25,145.5138,9370000,
2023-12-21,150.78,150.8,149.22,150.71,145.9593,7264700,
2023-12-22,151.74,152.39,150.75,151.05,146.2886,6394600,
2023-12-26,152.07,153.01,151.9,152.41,147.6057,5165600,
2023-12-27,152.27,152.97,151.34,151.91,147.1215,5337200,
2023-12-28,151.18,152.02,149.4,149.77,145.0489,8148000,
2023-12-29,150.03,150.23,148.67,149.16,144.4581,7653800,
2024-01-02,149.99,151.48,149.24,149.48,144.7681,8879700,
2024-01-03,149.39,153.19,148.68,152.33,147.5282,10255300,
2024-01-04,153.66,154.35,150.59,150.66,145.9109,8220300,
2024-01-05,151.98,152.03,149.83,150.4,145.6591,7455100,
2024-01-08,148.42,149.7,146.58,149.5,144.7874,10038200,
2024-01-09,149.95,149.95,145.59,145.7,141.1072,11784700,
2024-01-10,146.02,146.02,144.11,144.5,139.945,8490400,
2024-01-11,145.56,146.17,144.62,145.28,140.7005,8612500,
2024-01-12,147.83,148.5,146.17,147.27,142.6277,9382800,
2024-01-16,146.51,146.58,143.58,143.69,139.1606,9380400,
2024-01-17,142.42,144.02,142.04,143.12,138.6085,8167000,
2024-01-18,143.0,143.19,139.62,141.82,137.3495,11187800,
2024-01-19,141.73,142.25,141.01,142.24,137.7563,11178900,
2024-01-22,141.91,142.66,140.92,142.49,137.9984,9184600,
2024-01-23,141.99,143.33,141.9,142.09,137.611,6767200,
2024-01-24,142.7,144.98,142.22,144.92,140.3518,8100000,
2024-01-25,146.22,148.69,145.23,148.57,143.8867,9773600,
2024-01-26,148.03,149.26,146.98,149.14,144.4388,9151900,
2024-01-29,149.09,149.22,147.11,149.08,144.3807,10494800,
2024-01-30,148.18,150.31,147.71,150.12,145.3879,9902900,
2024-01-31,150.37,150.38,147.34,147.43,142.7827,10428000,
2024-02-01,148.19,149.02,146.52,147.89,143.2282,8641100,
2024-02-02,150.86,153.38,149.55,152.24,147.4411,12838400,
2024-02-05,151.62,153.51,150.79,152.33,147.5282,8277800,
2024-02-06,152.5,153.54,151.81,152.35,147.5476,6198200,
2024-02-07,153.02,153.78,151.17,152.13,147.3345,6252000,
2024-02-08,151.95,154.3,151.65,154.06,149.2037,9237000,
2024-02-09,154.42,155.32,150.98,151.04,146.2789,9194500,
