date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,50.5,50.52,49.47,49.68,47.4654,26184989,
2023-09-18,50.0,50.176,49.08,49.5,47.2934,9265494,
2023-09-19,50.1,50.25,48.87,48.99,46.8062,9549358,
2023-09-20,48.61,49.06,47.86,47.88,45.7457,10362295,
2023-09-21,47.75,47.93,46.11,46.41,44.3412,13751305,
2023-09-22,46.82,47.02,46.25,46.59,44.5132,8360347,
2023-09-25,46.57,47.63,46.4995,47.51,45.3922,10594936,
2023-09-26,46.86,47.57,46.805,46.95,44.8571,8722344,
2023-09-27,47.78,49.21,47.65,48.84,46.6629,12027891,
2023-09-28,48.75,49.13,48.31,48.81,46.6342,6520617,
2023-09-29,49.0,49.04,47.6,47.7,45.5737,8856843,
2023-10-02,47.82,47.82,45.35,45.65,43.6151,10400287,
2023-10-03,45.52,45.79,45.085,45.75,43.7106,8624316,
2023-10-04,44.94,45.04,42.815,43.35,41.4176,14901403,
2023-10-05,43.0,43.445,42.73,42.85,40.9399,10595056,
2023-10-06,43.0,44.215,42.59,43.7,41.752,11578451,
2023-10-09,45.14,46.4,44.87,46.1,44.045,10939238,
2023-10-10,46.1,46.41,45.751,46.07,44.0163,7999862,
2023-10-11,45.87,46.8,45.58,46.75,44.666,8053304,
2023-10-12,47.25,47.38,46.26,46.69,44.6087,8040666,
2023-10-13,47.65,48.62,47.39,48.39,46.2329,10191091,
2023-10-16,48.73,49.52,48.33,49.4,47.1979,9632886,
2023-10-17,49.07,49.94,48.98,49.93,47.7043,9484492,
2023-10-18,50.27,50.835,49.87,50.08,47.8476,10883399,
2023-10-19,49.22,49.82,48.4226,49.25,47.0546,12615894,
2023-10-20,49.06,49.35,48.06,48.32,46.166,7909770,
2023-10-23,47.67,47.99,46.95,47.71,45.5832,8084353,
2023-10-24,47.85,48.02,47.255,47.47,45.3539,5672642,
2023-10-25,47.24,47.905,46.93,47.85,45.717,6337442,
2023-10-26,47.05,47.565,46.67,47.17,45.0673,5500621,
2023-10-27,47.18,47.28,45.95,46.77,44.6851,8089462,
2023-10-30,46.69,47.2,45.67,46.17,44.1119,6815178,
2023-10-31,46.08,46.6,45.645,46.57,44.4941,5896171,
2023-11-01,47.0,47.0,46.115,46.21,44.1501,7565006,
2023-11-02,46.33,47.31,45.84,47.27,45.1628,6014926,
2023-11-03,47.42,47.93,47.21,47.34,45.2297,7016486,
2023-11-06,47.72,47.75,46.33,46.72,44.6374,7873953,
2023-11-07,45.89,46.09,45.02,45.29,43.2711,11263484,
2023-11-08,44.7,45.1,43.7,44.18,42.2106,14232152,
2023-11-09,44.57,45.125,44.115,44.14,42.1724,9925719,
2023-11-10,44.62,45.96,44.53,45.62,43.5864,11182139,
2023-11-13,45.81,46.03,45.34,45.42,43.3953,8175909,
2023-11-14,45.78,46.195,45.45,45.74,43.7011,6846961,
2023-11-15,45.67,46.4063,45.455,45.52,43.4909,7318637,
2023-11-16,44.67,44.88,43.455,44.29,42.3157,12410930,
2023-11-17,44.8,45.735,44.44,45.36,43.338,9350216,
2023-11-20,45.83,46.2,45.53,45.65,43.6151,7588343,
2023-11-21,45.29,45.57,44.96,45.25,43.2329,5039961,
2023-11-22,44.05,45.23,43.69,45.16,43.1469,6977235,
2023-11-24,45.06,45.62,44.8987,45.35,43.3284,4050566,
2023-11-27,44.98,45.03,44.35,44.93,42.9272,8319941,
2023-11-28,45.12,45.42,44.72,44.82,42.8221,5942185,
2023-11-29,45.05,45.21,44.64,44.88,42.8794,6470344,
2023-11-30,45.5,45.99,44.53,44.97,42.9654,12904398,
2023-12-01,44.88,45.86,44.64,45.17,43.1565,6386249,
2023-12-04,44.63,45.305,44.47,44.68,42.6883,6670337,
2023-12-05,44.68,44.85,43.72,43.78,41.8284,8282143,
2023-12-06,43.53,44.17,43.0601,43.25,41.322,10636537,
2023-12-07,43.55,43.795,43.135,43.46,41.5227,10954936,
2023-12-08,43.83,44.26,43.67,44.09,42.1246,7454733,
2023-12-11,44.25,44.61,44.055,44.41,42.4303,8093579,
2023-12-12,43.9,43.9,43.04,43.34,41.408,11439003,
2023-12-13,43.33,44.25,42.95,44.22,42.2488,13256411,
2023-12-14,44.25,45.49,44.1601,44.99,43.7462,13683647,
2023-12-15,44.51,44.905,44.14,44.87,43.6296,24624235,
2023-12-18,45.57,46.155,45.21,45.24,43.9893,12127159,
2023-12-19,45.34,45.725,45.02,45.68,44.4172,9074601,
2023-12-20,45.85,46.23,45.17,45.24,43.9893,8494538,
2023-12-21,45.39,45.86,45.155,45.85,44.5825,8104096,
2023-12-22,46.2,46.4512,45.715,45.81,44.5436,6324030,
2023-12-26,46.26,46.94,46.19,46.66,45.3701,8224798,
2023-12-27,46.55,46.77,46.24,46.4,45.1173,7982564,
2023-12-28,46.11,46.35,45.75,45.76,44.4949,7843036,
2023-12-29,45.88,45.98,45.04,45.3,44.0477,9450429,
2024-01-02,45.62,46.49,45.55,45.84,44.5727,7489500,
2024-01-03,45.69,46.835,45.52,46.81,45.5159,7374598,
2024-01-04,47.04,47.35,45.56,45.63,44.3685,8311414,
2024-01-05,45.98,46.08,45.515,45.94,44.67,7073480,
2024-01-08,45.15,45.53,44.33,45.53,44.2713,8222271,
2024-01-09,45.59,45.65,44.55,44.77,43.5323,7532761,
2024-01-10,44.77,44.815,43.84,43.94,42.7253,10531285,
2024-01-11,44.08,44.25,43.425,43.59,42.3849,10739004,
2024-01-12,44.44,44.53,42.67,42.77,41.5876,12749746,
2024-01-16,42.53,42.75,41.52,41.68,40.5277,13084550,
2024-01-17,41.29,41.485,40.81,41.09,39.9541,11802671,
2024-01-18,40.98,41.21,40.51,41.08,39.9443,10038454,
2024-01-19,41.05,41.11,40.62,40.97,39.8374,9173503,
2024-01-22,40.8,41.62,40.5602,41.18,40.0416,9522554,
2024-01-23,41.22,41.835,41.06,41.3,40.1582,5843056,
2024-01-24,41.7,41.88,41.265,41.62,40.4694,8160663,
2024-01-25,41.8,42.5,41.47,42.49,41.3153,8101469,
2024-01-26,42.39,42.77,42.115,42.62,41.4418,5768568,
