date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,133.51,134.6072,131.6,132.18,126.9351,4880348,
2023-09-18,133.72,133.84,131.15,131.88,126.647,1999027,
2023-09-19,133.31,133.55,127.72,129.0,123.8813,3671719,
2023-09-20,128.0,129.51,125.27,125.5,120.5201,3818849,
2023-09-21,126.2,126.77,122.24,122.59,117.7256,3614430,
2023-09-22,123.47,123.87,121.515,122.62,117.7544,3222742,
2023-09-25,122.93,125.83,122.93,125.65,120.6642,2710593,
2023-09-26,124.42,127.61,124.168,126.88,121.8454,3381979,
2023-09-27,129.47,131.02,128.41,129.81,124.6591,2734982,
2023-09-28,129.32,131.32,128.87,129.47,124.3326,2274358,
2023-09-29,129.56,129.7,126.54,126.76,121.7301,3374668,
2023-10-02,127.09,127.3,122.76,123.66,118.7532,2625095,
2023-10-03,123.55,124.285,122.79,124.24,119.3101,1917994,
2023-10-04,122.25,122.52,118.25,119.36,114.6238,2814302,
2023-10-05,118.25,120.1,117.86,118.46,113.7595,2526408,
2023-10-06,119.22,122.07,118.03,120.68,115.8914,3477860,
2023-10-09,124.22,127.87,123.8,127.24,122.1911,3720025,
2023-10-10,127.02,128.12,126.09,126.71,121.6821,2833719,
2023-10-11,125.51,127.5,124.8,127.37,122.3159,2447413,
2023-10-12,128.93,129.63,127.73,128.96,123.8428,3038990,
2023-10-13,131.6,134.63,131.26,133.84,128.5292,3576296,
2023-10-16,134.71,134.76,132.51,134.03,129.51,1993560,
2023-10-17,133.47,135.22,133.18,134.3,129.7709,2669993,
2023-10-18,135.34,136.28,134.74,135.76,131.1816,2307800,
2023-10-19,135.0,136.68,133.93,136.23,131.6358,2421289,
2023-10-20,136.02,136.79,132.94,133.23,128.737,3425345,
2023-10-23,131.94,133.12,130.68,131.64,127.2006,2281360,
2023-10-24,131.62,131.81,129.62,129.94,125.5579,1813966,
2023-10-25,129.7,130.52,128.67,129.73,125.355,2421994,
2023-10-26,128.15,128.6,126.42,127.94,123.6254,2367498,
2023-10-27,127.93,128.07,124.96,125.99,121.7411,2779016,
2023-10-30,126.34,127.09,123.96,125.45,121.2193,2614646,
2023-10-31,125.32,126.64,124.2543,126.25,121.9924,2368412,
2023-11-01,126.78,127.525,124.12,124.22,120.0308,3394556,
2023-11-02,123.8,128.67,123.22,128.65,124.3114,4313633,
2023-11-03,129.79,131.61,127.61,128.16,123.8379,5531615,
2023-11-06,129.28,129.53,125.1,126.42,122.1566,4168337,
2023-11-07,124.0,124.5,121.6,122.64,118.5041,3582097,
2023-11-08,121.71,122.7,120.85,121.21,117.1223,3840576,
2023-11-09,122.21,122.63,120.89,121.3,117.2093,1826975,
2023-11-10,122.48,123.29,121.65,122.7,118.5621,1934596,
2023-11-13,123.0,123.73,122.3975,123.06,118.9099,2413693,
2023-11-14,123.9,125.33,123.14,125.12,120.9005,2556087,
2023-11-15,124.91,125.66,123.015,123.07,118.9196,3861968,
2023-11-16,120.91,121.77,117.36,120.7,116.6295,4075135,
2023-11-17,121.99,124.57,121.49,124.0,119.8182,3667551,
2023-11-20,124.75,125.72,124.14,125.23,121.0068,3133807,
2023-11-21,124.29,124.64,123.14,124.25,120.0598,2281159,
2023-11-22,120.6,123.46,119.095,123.17,119.0162,3369570,
2023-11-24,122.96,124.17,122.57,123.5,119.3351,1318147,
2023-11-27,122.66,123.27,121.75,123.0,118.852,2384172,
2023-11-28,123.39,124.52,122.69,123.64,119.4704,3381045,
2023-11-29,124.23,124.39,122.7,123.24,119.0839,3000103,
2023-11-30,124.54,125.9694,121.86,123.07,118.9196,5597879,
