date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,42.129,42.54,41.355,41.53,40.8194,7924220,
2023-09-18,41.44,41.715,41.035,41.19,40.4852,5821839,
2023-09-19,41.65,41.9,40.73,40.99,40.2886,8309253,
2023-09-20,40.37,40.975,39.99,40.0,39.3156,5928723,
2023-09-21,40.16,40.16,38.57,38.74,38.0771,6346431,
2023-09-22,39.02,39.5,38.315,38.45,37.7921,4931352,
2023-09-25,38.45,39.18,38.17,38.92,38.254,3444478,
2023-09-26,38.55,39.43,38.4,38.96,38.2934,4629962,
2023-09-27,39.47,40.22,39.3,39.61,38.9322,6979472,
2023-09-28,39.63,40.63,39.59,40.44,39.748,4248035,
2023-09-29,40.36,40.7575,40.21,40.58,39.8856,4413426,
2023-10-02,40.32,40.32,38.645,39.09,38.4211,5434409,
2023-10-03,39.05,39.645,38.68,39.62,38.9421,5685819,
2023-10-04,39.42,40.04,38.98,39.65,38.9715,5614927,
2023-10-05,39.7,41.4,39.59,41.09,40.3869,6080023,
2023-10-06,41.305,43.175,41.235,42.79,42.0578,7244604,
2023-10-09,43.09,44.43,43.09,44.35,43.5911,4894264,
2023-10-10,44.29,44.55,43.605,44.09,43.3356,4067611,
2023-10-11,43.31,43.73,42.63,43.55,42.8048,4939146,
2023-10-12,43.55,43.945,43.16,43.41,42.6672,3933125,
2023-10-13,43.85,44.2,43.32,43.37,42.6279,4254844,
2023-10-16,43.5,43.6,42.415,43.5,42.7557,4329318,
2023-10-17,43.64,44.655,43.36,44.26,43.5027,6792518,
2023-10-18,44.66,44.66,43.05,43.68,42.9326,5559612,
2023-10-19,43.75,44.15,42.97,43.09,42.3527,4183925,
2023-10-20,42.97,43.025,41.81,42.35,41.6253,4358211,
2023-10-23,41.83,42.48,41.32,42.27,41.5467,5288664,
2023-10-24,42.55,42.72,42.07,42.53,41.8023,3859891,
2023-10-25,42.78,42.78,41.815,42.02,41.301,4324440,
2023-10-26,40.5,43.14,39.58,42.81,42.0775,7130183,
2023-10-27,43.16,43.21,41.4,41.95,41.2322,4425326,
2023-10-30,41.48,42.25,40.39,41.18,40.4754,8406714,
2023-10-31,41.35,42.5,41.06,42.38,41.6548,4464768,
2023-11-01,42.23,43.06,41.56,42.72,41.989,4276260,
2023-11-02,42.7,44.5,42.53,44.35,43.5911,3782956,
2023-11-03,44.07,45.23,44.05,44.72,43.9548,5232847,
2023-11-06,44.19,44.47,42.11,42.51,41.7826,5785425,
2023-11-07,41.72,41.76,40.28,40.76,40.2115,5791547,
2023-11-08,40.53,41.0,39.6,39.89,39.3532,4498756,
2023-11-09,40.09,40.295,39.33,39.41,38.8797,3042631,
2023-11-10,39.79,39.9,38.62,39.13,38.6035,4538545,
2023-11-13,39.53,40.06,39.21,39.8,39.2645,3706125,
2023-11-14,39.83,40.5,39.545,39.9,39.3631,3782636,
2023-11-15,39.98,41.72,39.84,41.33,40.7739,5968354,
2023-11-16,40.73,41.14,39.28,40.05,39.5111,6232563,
2023-11-17,39.85,40.85,39.78,40.37,39.8268,4711554,
2023-11-20,40.27,40.48,39.69,40.09,39.5506,3285274,
2023-11-21,39.97,40.355,39.42,40.02,39.4815,3956452,
2023-11-22,39.38,40.56,39.18,40.32,39.7775,3271292,
2023-11-24,39.95,41.1,39.95,40.85,40.3003,1873406,
2023-11-27,40.51,40.51,39.7,40.23,39.6887,3773165,
2023-11-28,40.36,40.48,39.735,39.85,39.3138,4504033,
2023-11-29,40.1,40.11,39.31,39.75,39.2151,4361687,
2023-11-30,40.25,40.79,39.25,39.96,39.4223,11829010,
2023-12-01,39.81,40.505,39.65,40.24,39.6985,3301567,
2023-12-04,39.65,39.91,38.81,38.97,38.4456,6762535,
2023-12-05,39.28,39.538,38.33,38.36,37.8438,2946760,
2023-12-06,38.2,38.67,36.825,36.87,36.3739,6001766,
2023-12-07,36.96,37.1891,36.09,36.99,36.4923,6629514,
2023-12-08,37.25,37.34,36.52,37.13,36.6304,4769202,
2023-12-11,36.26,37.23,36.12,36.89,36.3936,5518773,
2023-12-12,36.32,36.65,35.845,36.01,35.5255,6437763,
2023-12-13,36.15,37.29,35.96,37.26,36.7586,6643341,
2023-12-14,37.63,38.83,37.38,38.82,38.2976,9302462,
2023-12-15,38.84,38.86,37.99,38.44,37.9228,19031859,
2023-12-18,39.23,39.56,38.71,38.91,38.3864,6630774,
2023-12-19,38.57,38.875,37.68,38.84,38.3174,7433584,
2023-12-20,38.85,39.1,37.88,38.0,37.4887,7190931,
2023-12-21,38.52,39.05,38.2,39.02,38.495,5239594,
