date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,156.8,158.5,154.93,155.75,146.6772,3351078,
2023-09-18,157.09,157.42,155.34,156.26,147.1575,1018211,
2023-09-19,157.51,157.89,154.59,155.39,146.3382,1118567,
2023-09-20,154.6,155.75,152.71,152.89,143.9838,1378163,
2023-09-21,153.45,153.55,150.46,151.36,142.5429,2660806,
2023-09-22,151.99,153.35,150.16,150.57,141.7989,1367451,
2023-09-25,150.82,152.93,150.35,152.64,143.7484,1974674,
2023-09-26,151.72,154.29,151.6,153.06,144.1439,1392402,
2023-09-27,155.21,158.47,154.45,157.23,148.071,3027967,
2023-09-28,157.23,158.88,156.23,157.14,147.9862,1221158,
2023-09-29,157.3,157.42,154.09,154.88,145.8579,1851687,
2023-10-02,155.15,155.32,148.75,150.2,141.4505,1678180,
2023-10-03,149.78,150.89,148.36,150.89,142.1003,1693876,
2023-10-04,149.57,149.57,144.23,145.51,137.0337,2536224,
2023-10-05,143.38,146.1,143.08,145.12,136.6664,1718253,
2023-10-06,147.8,153.0,146.16,151.23,142.4205,4441416,
2023-10-09,155.82,157.41,154.89,156.47,147.3553,2184398,
2023-10-10,156.47,157.96,155.2901,156.38,147.2705,1661580,
2023-10-11,156.1,159.08,155.63,158.85,149.5966,3028291,
2023-10-12,160.68,163.15,160.14,162.36,152.9022,3206371,
2023-10-13,165.75,168.3283,165.7302,166.57,156.8669,2908505,
2023-10-16,167.92,168.125,165.08,167.41,157.658,1661815,
2023-10-17,167.27,169.6,167.2,168.47,158.6562,1925664,
2023-10-18,169.69,171.395,168.9,169.92,160.0218,1995968,
2023-10-19,169.42,170.67,167.7599,168.92,159.08,1580338,
2023-10-20,168.92,169.61,166.01,166.48,156.7822,2465511,
2023-10-23,164.62,167.385,163.74,165.32,155.6897,2548846,
2023-10-24,165.8,166.38,163.18,163.26,153.7497,1604643,
2023-10-25,163.8,165.13,162.33,164.68,155.087,1596656,
2023-10-26,163.03,163.635,159.73,161.72,152.2994,2669263,
2023-10-27,162.0,162.0674,157.9215,160.05,150.7267,1589319,
2023-10-30,160.26,161.255,157.05,158.43,149.2011,1496212,
2023-10-31,158.95,161.16,157.33,160.32,150.981,1342472,
2023-11-01,161.94,162.59,158.71,159.41,150.124,1700518,
2023-11-02,158.37,163.48,157.6,163.24,153.7309,1621308,
2023-11-03,163.47,164.04,160.87,162.1,152.6573,1294228,
2023-11-06,162.41,163.08,159.1,160.14,150.8115,1914839,
2023-11-07,157.82,160.07,153.575,158.79,149.5401,3074600,
2023-11-08,157.55,159.54,155.165,155.97,146.8844,2448731,
2023-11-09,156.64,158.285,155.39,155.58,146.5171,1785393,
2023-11-10,157.66,158.66,155.865,157.71,148.523,1692396,
2023-11-13,158.02,159.35,157.35,158.18,148.9656,1289694,
2023-11-14,159.05,159.75,158.125,159.16,149.8886,2418036,
2023-11-15,155.42,157.9099,155.42,155.79,149.8886,1785598,
2023-11-16,154.79,154.96,148.67,152.5,146.7232,3097576,
2023-11-17,154.03,157.445,153.4953,156.15,150.2349,2183091,
2023-11-20,157.03,158.228,155.6075,156.15,150.2349,1421403,
2023-11-21,155.24,155.6,153.57,155.09,149.2151,1127828,
2023-11-22,150.98,154.625,149.99,154.16,148.3203,1363458,
2023-11-24,154.49,156.26,154.43,154.63,148.7725,549782,
2023-11-27,153.79,154.38,152.56,154.02,148.1856,1232199,
2023-11-28,154.41,155.72,153.54,153.99,148.1567,1066554,
2023-11-29,154.44,154.89,153.02,153.79,147.9643,1031529,
2023-11-30,155.16,157.48,151.13,154.41,148.5608,2406758,
