date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,42.0,42.52,41.71,42.11,41.2761,11070400,
2023-09-18,42.47,42.82,42.16,42.64,41.7956,5135200,
2023-09-19,43.0,43.15,41.07,41.43,40.6096,7511600,
2023-09-20,41.19,42.14,41.18,41.29,40.4724,4928300,
2023-09-21,41.42,41.5,40.52,40.76,39.9529,5243200,
2023-09-22,41.01,41.33,40.61,40.63,39.8254,4673800,
2023-09-25,40.55,41.04,40.4,40.98,40.1685,4243700,
2023-09-26,40.52,41.24,40.46,40.79,39.9823,5599300,
2023-09-27,41.43,42.37,41.13,42.03,41.1977,5787200,
2023-09-28,41.87,42.42,41.62,41.79,40.9625,5174100,
2023-09-29,41.65,41.72,40.19,40.5,39.698,8529300,
2023-10-02,40.42,40.61,39.32,39.77,38.9825,6581200,
2023-10-03,39.39,40.1,39.33,40.06,39.2667,7272700,
2023-10-04,39.35,39.59,38.08,38.27,37.5122,8684600,
2023-10-05,38.03,38.66,37.86,38.06,37.3063,5538000,
2023-10-06,38.16,39.11,37.94,38.69,37.9238,5605800,
2023-10-09,40.0,41.54,39.87,41.31,40.492,9903000,
2023-10-10,41.23,41.72,41.1,41.15,40.3351,6024000,
2023-10-11,40.85,41.69,40.61,41.64,40.8154,6052100,
2023-10-12,42.07,42.37,41.29,41.73,40.9036,5969200,
2023-10-13,42.5,43.28,42.08,42.43,41.5898,7413300,
2023-10-16,42.87,42.88,41.99,42.36,41.5212,5982300,
2023-10-17,42.28,43.43,42.21,43.04,42.1877,6340900,
2023-10-18,43.36,43.85,42.81,43.13,42.2759,8251100,
2023-10-19,42.7,43.83,42.31,43.26,42.4033,7749700,
2023-10-20,42.94,43.34,41.2,42.11,41.2761,9437200,
2023-10-23,42.11,42.15,41.36,41.65,40.8252,7764500,
2023-10-24,41.03,41.6,39.85,40.23,39.4334,10122100,
2023-10-25,40.39,40.65,39.16,40.38,39.5804,9022800,
2023-10-26,39.81,39.91,38.89,39.45,38.6688,8470700,
2023-10-27,39.65,39.81,38.92,39.6,38.8158,7357400,
2023-10-30,39.79,39.98,38.85,39.42,38.6394,6783100,
2023-10-31,39.34,39.79,38.92,39.34,38.561,6359800,
2023-11-01,39.59,40.08,39.2,39.42,38.6394,4995200,
2023-11-02,39.48,40.65,39.39,40.59,39.7862,5385800,
2023-11-03,40.42,41.07,40.21,40.29,39.4922,4748200,
2023-11-06,40.57,40.64,39.42,39.52,38.7374,5415900,
2023-11-07,38.68,38.9,37.82,37.95,37.1985,6552300,
2023-11-08,37.7,38.41,37.65,37.79,37.0417,7036100,
2023-11-09,37.94,38.31,37.66,37.8,37.0515,4658400,
2023-11-10,38.24,38.53,37.88,38.29,37.5318,4292000,
2023-11-13,38.38,38.92,38.17,38.66,37.8944,3605400,
2023-11-14,38.88,39.41,38.52,39.18,38.4041,5498700,
2023-11-15,39.16,39.34,38.28,38.44,37.6788,6696800,
2023-11-16,37.89,38.27,36.47,37.18,36.4437,8186800,
2023-11-17,37.69,38.28,37.54,37.99,37.2377,6189300,
2023-11-20,38.27,38.58,38.05,38.2,37.4435,6056300,
2023-11-21,37.83,38.45,37.71,38.21,37.4534,4322300,
2023-11-22,37.14,37.96,36.8,37.89,37.1397,4816800,
2023-11-24,37.93,38.55,37.91,38.06,37.3063,2266100,
2023-11-27,37.97,38.09,37.27,37.69,36.9436,7736600,
2023-11-28,37.78,37.88,37.33,37.52,36.777,6057500,
2023-11-29,37.7,37.77,36.98,37.3,36.5614,5812100,
2023-11-30,37.77,38.38,36.7,37.03,36.2967,13769000,
2023-12-01,37.07,38.16,36.81,37.71,36.9633,6670500,
2023-12-04,37.28,37.71,36.82,37.37,36.63,6133900,
2023-12-05,37.22,37.3,36.2,36.33,35.6106,7064800,
2023-12-06,35.89,36.22,34.79,34.86,34.3208,10186300,
2023-12-07,35.03,35.26,34.0,34.42,33.8876,11219300,
2023-12-08,34.75,35.16,34.4,34.93,34.3898,6459200,
2023-12-11,34.86,35.44,34.74,34.77,34.2322,6837600,
2023-12-12,34.2,34.58,33.79,34.44,33.9073,8380000,
2023-12-13,34.61,34.8,34.02,34.69,34.1535,6337200,
2023-12-14,35.31,35.96,35.13,35.89,35.3349,8861700,
2023-12-15,35.47,35.99,35.04,35.82,35.266,15659400,
2023-12-18,36.66,37.03,36.2,36.21,35.65,6800700,
2023-12-19,36.43,36.95,36.27,36.82,36.2505,5810100,
2023-12-20,36.9,37.54,36.4,36.46,35.8961,6653800,
2023-12-21,36.5,36.75,36.23,36.64,36.0733,4252800,
2023-12-22,36.86,37.11,36.51,36.59,36.0241,3627000,
2023-12-26,37.12,37.4,36.85,37.05,36.477,3594500,
2023-12-27,36.98,37.21,36.58,36.66,36.093,4267500,
2023-12-28,36.45,36.64,36.14,36.21,35.65,4179200,
2023-12-29,36.35,36.45,35.99,36.15,35.5909,4757100,
2024-01-02,36.48,36.78,36.02,36.12,35.5614,5503400,
2024-01-03,36.13,36.84,36.05,36.57,36.0044,6926000,
2024-01-04,36.85,36.97,35.73,35.78,35.2266,7153300,
2024-01-05,36.15,36.31,35.8,35.97,35.4137,4473400,
2024-01-08,35.01,35.23,34.17,35.21,34.6654,8938300,
2024-01-09,35.09,35.19,34.25,34.51,33.9763,7036000,
2024-01-10,34.36,34.51,33.85,34.07,33.5431,5756600,
2024-01-11,34.36,34.48,33.96,34.19,33.6612,5973900,
2024-01-12,34.81,34.95,34.14,34.48,33.9467,6782100,
2024-01-16,34.32,34.45,33.45,33.51,32.9917,6656000,
2024-01-17,32.95,33.76,32.84,33.24,32.7259,6985400,
2024-01-18,33.21,33.47,32.99,33.31,32.7948,6635600,
2024-01-19,33.43,33.98,33.32,33.97,33.4446,8908700,
2024-01-22,33.88,34.65,33.78,34.43,33.8975,11147100,
2024-01-23,34.48,35.69,33.94,35.3,34.754,15096900,
2024-01-24,35.68,36.95,35.48,36.83,36.2604,14417400,
2024-01-25,37.08,37.25,36.0,37.0,36.4277,11492100,
2024-01-26,36.87,37.86,36.76,37.53,36.9495,8835500,
2024-01-29,37.25,37.36,36.77,37.19,36.6148,5857600,
2024-01-30,35.95,37.01,35.14,36.81,36.2407,18937100,
2024-01-31,36.91,36.93,35.62,35.65,35.0986,12417800,
2024-02-01,35.87,36.14,34.9,35.43,34.882,7803800,
2024-02-02,35.41,35.46,34.75,34.77,34.2322,7243000,
2024-02-05,34.52,34.8,34.08,34.53,33.9959,7251300,
2024-02-06,34.83,35.09,34.55,34.82,34.2815,5298100,
2024-02-07,34.94,35.14,34.33,34.74,34.2027,7588000,
2024-02-08,34.74,35.24,34.68,35.03,34.4882,5445500,
2024-02-09,35.03,35.15,34.43,34.51,33.9763,4668400,
2024-02-12,34.78,35.15,34.44,34.53,33.9959,8691200,
2024-02-13,34.5,34.63,33.79,34.06,33.5332,7038000,
2024-02-14,34.35,34.61,34.04,34.2,33.671,6578700,
2024-02-15,34.24,35.6,34.2,35.34,34.7934,9206700,
2024-02-16,35.44,35.7,34.91,35.31,34.7639,7260900,
2024-02-20,35.16,35.58,34.96,35.13,34.5867,7906400,
2024-02-21,35.27,35.57,34.77,35.13,34.5867,6194200,
2024-02-22,34.93,35.59,34.85,35.3,34.754,6449600,
2024-02-23,34.9,35.3,34.5,35.21,34.6654,6489900,
2024-02-26,35.0,35.31,34.66,34.91,34.3701,5076500,
2024-02-27,35.33,35.44,34.8,34.96,34.4193,5954600,
2024-02-28,34.9,35.33,34.62,34.95,34.4094,5557900,
2024-02-29,35.12,35.34,34.67,35.07,34.5276,9270300,
