date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,162.91,163.82,160.26,160.35,158.9104,2770400,
2023-09-18,162.18,162.96,160.26,162.6,161.1402,1321200,
2023-09-19,164.58,164.68,158.18,159.04,157.6122,1601400,
2023-09-20,157.94,159.98,156.03,156.28,154.877,1625900,
2023-09-21,156.83,156.94,150.69,150.93,149.575,1803700,
2023-09-22,152.16,153.09,150.0,150.12,148.7723,1543500,
2023-09-25,150.53,152.92,149.78,151.94,150.5759,1306800,
2023-09-26,150.33,153.03,149.49,152.04,150.675,1965000,
2023-09-27,154.69,158.8,153.61,158.04,156.6212,3103600,
2023-09-28,157.46,158.55,155.6,156.64,155.2337,2474900,
2023-09-29,156.47,157.19,152.0,153.0,151.6264,1866900,
2023-10-02,153.07,153.58,147.96,149.12,147.7812,1531800,
2023-10-03,148.28,149.74,147.81,149.5,148.1578,1684700,
2023-10-04,147.01,147.25,141.64,143.26,141.9739,2870900,
2023-10-05,142.06,144.7,141.7,141.94,140.6657,1690900,
2023-10-06,142.78,147.46,141.75,145.65,144.3424,1753600,
2023-10-09,150.15,154.2,149.27,153.38,152.003,1715500,
2023-10-10,153.0,154.86,152.1,153.65,152.2706,1152500,
2023-10-11,152.01,155.24,151.82,154.98,153.5886,2121700,
2023-10-12,156.69,158.27,155.5,156.35,154.9463,1731100,
2023-10-13,159.1,162.13,158.01,160.98,159.5348,1665800,
2023-10-16,162.36,162.84,160.82,161.41,159.9609,1459900,
2023-10-17,161.11,164.32,161.1,164.02,162.5475,1423600,
2023-10-18,165.59,167.26,163.81,164.97,163.489,2127500,
2023-10-19,164.22,167.75,162.85,166.08,164.589,1877200,
2023-10-20,165.13,166.18,161.27,163.02,161.5565,2210300,
2023-10-23,163.4,166.5,160.48,161.3,159.8519,11092100,
2023-10-24,160.71,161.57,154.83,155.22,153.8265,14845100,
2023-10-25,155.16,155.69,154.11,154.4,153.0138,6290600,
2023-10-26,153.62,154.04,152.31,153.18,151.8048,7910200,
2023-10-27,150.79,150.99,142.76,143.29,142.0036,8660700,
2023-10-30,144.02,145.42,143.37,145.17,143.8667,6850700,
2023-10-31,145.19,145.9,143.55,144.4,143.1036,4664400,
2023-11-01,144.71,145.15,142.14,142.25,140.9729,6596700,
2023-11-02,141.99,148.15,141.67,147.76,146.4335,3760500,
2023-11-03,147.17,147.74,145.2,146.26,144.9469,6375700,
2023-11-06,147.79,148.17,145.58,145.74,144.4316,1807900,
2023-11-07,143.5,144.13,141.7,142.95,141.6666,4455500,
2023-11-08,142.15,143.19,140.64,140.77,139.5062,3705000,
2023-11-09,141.42,142.36,140.03,140.2,138.9413,3820900,
2023-11-10,141.81,141.9,140.03,141.59,140.3189,3468800,
2023-11-13,141.6,142.89,141.21,142.68,141.3991,2408100,
2023-11-14,143.11,144.14,142.39,143.76,142.4694,2981000,
2023-11-15,142.95,145.29,142.91,144.17,142.8757,2226200,
2023-11-16,142.45,143.41,140.6,141.46,140.19,3680800,
2023-11-17,143.0,145.29,142.22,144.45,143.1532,2420500,
2023-11-20,144.93,145.85,144.48,144.5,143.2027,2844400,
2023-11-21,143.8,144.64,142.81,144.32,143.0243,1524400,
2023-11-22,141.44,144.67,140.76,144.4,143.1036,1579100,
2023-11-24,144.68,146.24,144.28,145.41,144.1046,804200,
2023-11-27,144.66,145.12,143.07,144.51,143.2126,2155600,
2023-11-28,144.32,146.77,144.28,145.6,144.2929,2232000,
2023-11-29,146.23,146.72,136.65,139.56,138.3071,12129900,
2023-11-30,141.18,143.6,139.12,140.56,139.2981,9536800,
2023-12-01,140.47,143.52,139.52,141.07,139.8035,6123400,
2023-12-04,139.66,142.5,139.5,141.69,140.418,3705400,
2023-12-05,141.57,141.72,138.38,138.39,137.1476,3792100,
