date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,17.2,17.4,17.045,17.07,16.0335,28400449,
2023-09-18,17.08,17.14,16.91,17.02,15.9866,13265020,
2023-09-19,17.13,17.13,16.825,16.93,15.902,13822580,
2023-09-20,16.9,17.06,16.85,16.86,15.8363,8538286,
2023-09-21,16.85,16.89,16.55,16.56,15.5545,12831960,
2023-09-22,16.57,16.74,16.53,16.6,15.5921,11579650,
2023-09-25,16.55,16.81,16.54,16.75,15.733,11773290,
2023-09-26,16.63,16.73,16.405,16.47,15.47,12834880,
2023-09-27,16.55,16.76,16.54,16.66,15.6484,12837510,
2023-09-28,16.64,16.79,16.59,16.67,15.6578,9576395,
2023-09-29,16.67,16.76,16.53,16.58,15.5733,14575280,
2023-10-02,16.6,16.62,16.1,16.16,15.1788,16619160,
2023-10-03,16.07,16.17,15.98,16.1,15.1224,16607939,
2023-10-04,15.96,16.17,15.89,16.03,15.0567,17504311,
2023-10-05,15.9,16.23,15.895,16.16,15.1788,17519961,
2023-10-06,16.14,16.39,16.01,16.26,15.2727,13027220,
2023-10-09,16.53,16.78,16.485,16.76,15.7423,18370510,
2023-10-10,16.75,16.87,16.7,16.82,15.7987,11827370,
2023-10-11,16.71,16.85,16.65,16.85,15.8269,11583410,
2023-10-12,16.91,16.98,16.77,16.91,15.8832,13901970,
2023-10-13,17.095,17.185,17.04,17.11,16.0711,14081380,
2023-10-16,17.2,17.33,17.08,17.28,16.2308,11369850,
2023-10-17,17.27,17.4386,17.235,17.33,16.2777,15252900,
2023-10-18,17.34,17.395,17.11,17.14,16.0993,14679970,
2023-10-19,17.27,17.31,16.84,17.01,15.9772,17788760,
2023-10-20,17.04,17.1,16.89,16.99,15.9584,16349700,
2023-10-23,16.89,17.02,16.82,16.98,15.949,12852390,
2023-10-24,17.01,17.07,16.82,16.85,15.8269,12964220,
2023-10-25,16.86,16.945,16.78,16.79,15.7705,11215640,
2023-10-26,16.71,16.77,16.56,16.7,15.686,11306870,
2023-10-27,16.7,16.71,16.3,16.37,15.376,14657050,
2023-10-30,16.14,16.29,15.91,16.13,15.4166,16123250,
2023-10-31,16.11,16.25,16.055,16.2,15.4836,13132550,
2023-11-01,16.26,16.45,16.1,16.35,15.6269,15920580,
2023-11-02,16.365,16.92,16.29,16.9,16.1526,18525100,
2023-11-03,16.9,17.0,16.83,16.87,16.1239,12819340,
2023-11-06,16.94,16.94,16.65,16.67,15.9328,11851700,
2023-11-07,16.53,16.63,16.4,16.55,15.8181,18310020,
2023-11-08,16.47,16.51,16.31,16.34,15.6174,10910540,
2023-11-09,16.42,16.44,16.17,16.21,15.4931,15076580,
2023-11-10,16.33,16.48,16.22,16.44,15.7129,12670370,
2023-11-13,16.44,16.63,16.34,16.52,15.7894,9358646,
2023-11-14,16.63,16.87,16.59,16.8,16.057,12593060,
2023-11-15,16.85,17.07,16.83,16.92,16.1717,16813619,
2023-11-16,16.85,17.0,16.62,16.82,16.0761,14554130,
2023-11-17,16.94,17.05,16.87,16.96,16.2099,13708360,
2023-11-20,16.96,17.09,16.91,16.94,16.1908,10062570,
2023-11-21,16.96,17.14,16.9,17.12,16.3629,11961160,
2023-11-22,16.94,17.3,16.902,17.29,16.5253,13233980,
2023-11-24,17.3,17.46,17.28,17.35,16.5827,5988130,
2023-11-27,17.3,17.35,17.245,17.31,16.5445,10947040,
2023-11-28,17.35,17.43,17.26,17.29,16.5253,10998480,
2023-11-29,17.36,17.465,17.205,17.32,16.554,13975750,
2023-11-30,17.37,17.59,17.36,17.57,16.793,23071350,
2023-12-01,17.54,17.8,17.505,17.75,16.965,12719080,
2023-12-04,17.69,17.9,17.66,17.85,17.0606,11707980,
2023-12-05,17.85,17.89,17.49,17.5,16.7261,17516891,
2023-12-06,17.47,17.685,17.4112,17.53,16.7547,17064670,
2023-12-07,17.62,17.66,17.45,17.5,16.7261,16544830,
2023-12-08,17.55,17.71,17.51,17.7,16.9172,11790040,
2023-12-11,17.67,17.7,17.53,17.57,16.793,11457530,
2023-12-12,17.51,17.57,17.14,17.22,16.4584,16091550,
2023-12-13,17.21,17.54,17.105,17.48,16.7069,17197869,
2023-12-14,17.61,17.88,17.6025,17.69,16.9077,17957750,
2023-12-15,17.6,17.62,17.38,17.49,16.7165,33040898,
2023-12-18,17.75,17.84,17.55,17.57,16.793,13959710,
2023-12-19,17.59,17.72,17.54,17.64,16.8599,11375700,
2023-12-20,17.64,17.74,17.5,17.5,16.7261,16159170,
2023-12-21,17.51,17.65,17.0,17.64,16.8599,11332250,
2023-12-22,17.7,17.835,17.665,17.72,16.9363,7534269,
2023-12-26,17.8,17.89,17.72,17.85,17.0606,7636696,
2023-12-27,17.84,17.87,17.66,17.77,16.9841,7920543,
2023-12-28,17.71,17.8,17.62,17.69,16.9077,7770033,
2023-12-29,17.7,17.7,17.565,17.64,16.8599,9811256,
2024-01-02,17.7,17.9,17.67,17.83,17.0415,13141230,
2024-01-03,17.81,18.1287,17.76,18.05,17.2517,14367050,
2024-01-04,18.15,18.24,17.9,17.95,17.1562,10839240,
2024-01-05,18.02,18.11,17.87,18.02,17.2231,12288800,
2024-01-08,17.89,18.11,17.79,18.11,17.3091,12962160,
2024-01-09,18.1,18.15,17.95,18.05,17.2517,15386350,
2024-01-10,18.02,18.06,17.9,17.95,17.1562,14113050,
2024-01-11,17.97,17.9949,17.7,17.84,17.051,16028800,
2024-01-12,18.05,18.15,17.89,17.97,17.1753,10319040,
2024-01-16,17.92,17.9799,17.8025,17.82,17.0319,12903270,
2024-01-17,17.73,17.85,17.5,17.56,16.7834,13926430,
2024-01-18,17.32,17.51,17.1,17.31,16.5445,31605631,
2024-01-19,17.38,17.38,17.1,17.2,16.4393,19017961,
2024-01-22,17.21,17.29,17.09,17.16,16.4011,13142410,
2024-01-23,17.15,17.22,17.04,17.08,16.3246,14416910,
2024-01-24,17.14,17.15,16.85,16.89,16.143,25500490,
2024-01-25,17.025,17.34,16.945,17.33,16.5636,23723820,
2024-01-26,17.33,17.47,17.3,17.44,16.6687,14265380,
2024-01-29,17.44,17.49,17.25,17.37,16.6018,13665900,
2024-01-30,17.05,17.23,17.005,17.21,16.7208,12446180,
2024-01-31,17.22,17.25,16.9,16.92,16.4391,16870609,
2024-02-01,16.92,17.19,16.86,17.03,16.5459,16473961,
2024-02-02,16.99,17.05,16.74,16.96,16.4779,20964520,
2024-02-05,16.85,16.85,16.62,16.67,16.1962,14057980,
2024-02-06,16.7,16.73,16.6,16.69,16.2156,12701660,
2024-02-07,16.74,16.77,16.52,16.65,16.1767,16670779,
2024-02-08,16.63,16.73,16.57,16.63,16.1573,17003990,
2024-02-09,16.63,16.7201,16.53,16.61,16.1379,9323427,
2024-02-12,16.62,16.84,16.57,16.78,16.3031,11205610,
2024-02-13,16.74,16.89,16.47,16.57,16.099,15183350,
2024-02-14,16.62,16.645,16.49,16.57,16.099,14250210,
2024-02-15,16.53,17.04,16.51,16.97,16.4876,18223211,
2024-02-16,16.97,17.18,16.91,17.11,16.6237,17603891,
2024-02-20,17.12,17.22,16.995,17.06,16.5751,13300550,
2024-02-21,17.14,17.44,17.09,17.42,16.9249,10845610,
2024-02-22,17.25,17.33,17.13,17.26,16.7694,13092620,
2024-02-23,17.2,17.36,17.17,17.25,16.7597,9892674,
2024-02-26,17.2,17.32,17.09,17.13,16.6431,8172229,
2024-02-27,17.21,17.23,17.05,17.17,16.682,12062780,
2024-02-28,17.19,17.258,17.02,17.15,16.6625,11414810,
2024-02-29,17.24,17.44,17.185,17.39,16.8957,15578910,
2024-03-01,17.38,17.5,17.335,17.46,16.9637,10955660,
2024-03-04,17.45,17.61,17.42,17.57,17.0706,10815760,
2024-03-05,17.59,17.85,17.57,17.72,17.2163,11811720,
2024-03-06,17.77,17.92,17.75,17.82,17.3135,10856520,
2024-03-07,17.87,17.95,17.82,17.87,17.3621,10735010,
2024-03-08,17.85,17.93,17.74,17.83,17.3232,11290690,
2024-03-11,17.83,17.98,17.755,17.97,17.4592,11397480,
2024-03-12,17.93,18.02,17.89,17.94,17.4301,8024651,
2024-03-13,18.03,18.105,17.86,17.89,17.3815,18206820,
2024-03-14,17.81,17.87,17.45,17.56,17.0609,20940811,
2024-03-15,17.5,17.79,17.48,17.6,17.0997,30086930,
2024-03-18,17.64,17.67,17.515,17.64,17.1386,16906789,
2024-03-19,17.68,17.94,17.66,17.93,17.4204,18142820,
2024-03-20,17.86,18.12,17.83,18.03,17.5175,11145340,
2024-03-21,18.05,18.31,18.01,18.11,17.5952,13742520,
2024-03-22,18.15,18.22,18.05,18.06,17.5467,10169280,
2024-03-25,18.04,18.14,17.89,17.97,17.4592,16549680,
2024-03-26,18.0,18.015,17.9,17.91,17.4009,9156143,
2024-03-27,17.96,18.17,17.89,18.15,17.6341,8698995,
2024-03-28,18.24,18.43,18.15,18.34,17.8187,15939370,
2024-04-01,18.37,18.48,18.1712,18.41,17.8867,10873280,
2024-04-02,18.45,18.52,18.3,18.42,17.8964,10157830,
2024-04-03,18.46,18.57,18.435,18.55,18.0227,11384690,
2024-04-04,18.61,18.72,18.365,18.43,17.9062,8949612,
2024-04-05,18.43,18.495,18.215,18.46,17.9353,9872614,
2024-04-08,18.48,18.62,18.35,18.36,17.8381,11639740,
2024-04-09,18.41,18.5,18.37,18.48,17.9547,8291340,
2024-04-10,18.35,18.39,18.19,18.27,17.7507,10675650,
