date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,154.23,155.81,153.04,153.81,150.7775,11636400,
2023-09-18,155.52,157.831,155.1,156.34,153.2576,3003576,
2023-09-19,157.65,157.65,150.2775,152.15,149.1502,4508270,
2023-09-20,151.91,154.68,151.72,152.67,149.66,2540202,
2023-09-21,155.74,159.5,153.25,154.77,151.7186,4152762,
2023-09-22,155.72,157.68,153.19,153.46,150.4344,2809267,
2023-09-25,152.66,154.74,152.24,154.2,151.1598,2123802,
2023-09-26,152.88,152.995,150.32,151.02,148.0425,3004875,
2023-09-27,152.02,153.6039,151.23,152.43,149.4247,2709848,
2023-09-28,151.89,156.18,151.86,154.43,151.3853,2994709,
2023-09-29,154.21,154.63,150.065,151.34,148.3562,3331172,
2023-10-02,151.06,151.6,148.4,150.02,147.0622,3986903,
2023-10-03,148.37,149.42,144.24,147.27,144.3664,3734171,
2023-10-04,144.85,144.94,139.32,141.89,139.0925,5777650,
2023-10-05,140.41,143.72,139.9266,142.28,139.4748,4003717,
2023-10-06,142.85,145.54,141.7,143.18,140.3571,3372115,
2023-10-09,145.51,147.07,143.8743,146.57,143.6802,3353953,
2023-10-10,145.62,149.43,145.62,148.91,145.9741,2946415,
2023-10-11,147.66,149.35,146.47,148.52,145.5918,2825130,
2023-10-12,149.35,149.66,146.26,147.59,144.6801,2773972,
2023-10-13,149.43,150.41,148.1,148.2,145.2781,2568781,
2023-10-16,149.42,151.71,149.03,150.75,147.7778,2406882,
2023-10-17,150.51,152.5,150.465,151.34,148.3562,1991376,
2023-10-18,151.42,154.33,151.35,153.99,150.954,2215720,
2023-10-19,153.93,154.33,152.14,152.84,149.8266,1906622,
2023-10-20,152.68,153.77,150.81,150.86,147.8857,2478896,
2023-10-23,150.77,150.98,147.89,149.45,146.5035,2422736,
2023-10-24,149.7,151.39,148.35,148.63,145.6996,1759134,
2023-10-25,149.14,150.29,147.15,147.35,144.4449,2479483,
2023-10-26,146.55,148.415,144.1101,148.06,145.1409,2929297,
2023-10-27,147.73,148.27,144.555,146.0,143.1215,3524323,
2023-10-30,146.88,148.53,144.51,146.86,143.9645,2949028,
2023-10-31,148.4,151.98,144.46,151.25,148.268,4139714,
2023-11-01,152.43,157.64,151.25,155.21,152.1499,4023244,
