date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,27.11,27.57,26.77,26.88,26.4209,18333600,
2023-09-18,27.15,27.22,26.64,26.9,26.4405,8817400,
2023-09-19,27.24,27.37,26.48,26.75,26.2931,10306300,
2023-09-20,26.64,26.95,26.14,26.15,25.7033,9387200,
2023-09-21,26.27,26.44,25.73,25.87,25.4281,12854900,
2023-09-22,26.12,26.4,26.0,26.16,25.7132,11662800,
2023-09-25,26.14,26.71,26.07,26.61,26.1555,10480900,
2023-09-26,26.32,26.63,26.13,26.29,25.841,10649800,
2023-09-27,26.82,27.68,26.66,27.39,26.9222,13809500,
2023-09-28,27.27,27.63,27.19,27.41,26.9418,6715500,
2023-09-29,27.53,27.53,26.7,26.75,26.2931,11356800,
2023-10-02,26.79,26.82,25.28,25.59,25.1529,11930900,
2023-10-03,25.32,25.73,25.19,25.68,25.2414,9737800,
2023-10-04,25.23,25.31,24.05,24.4,23.9832,12240200,
2023-10-05,24.04,24.54,24.01,24.24,23.826,10531300,
2023-10-06,24.36,24.82,24.0,24.59,24.17,10641300,
2023-10-09,25.62,26.39,25.37,26.22,25.7722,16614100,
2023-10-10,26.13,26.43,25.89,26.23,25.782,9329800,
2023-10-11,26.14,26.54,25.88,26.49,26.0375,9613900,
2023-10-12,26.74,26.98,26.57,26.8,26.3422,10170100,
2023-10-13,27.36,28.16,27.24,28.07,27.5906,12716100,
2023-10-16,28.28,28.48,27.74,28.45,27.9641,10009900,
2023-10-17,28.44,28.96,28.41,28.63,28.141,9537100,
2023-10-18,28.9,29.13,28.67,28.85,28.3572,8559000,
2023-10-19,28.69,29.56,28.52,29.19,28.6914,15988500,
2023-10-20,29.13,29.28,28.43,28.49,28.0034,10391700,
2023-10-23,28.26,28.63,28.02,28.17,27.6888,10398100,
2023-10-24,28.37,28.4,27.89,28.16,27.679,9790600,
2023-10-25,28.22,28.4,27.84,28.12,27.6397,8491800,
2023-10-26,27.78,28.03,27.4,27.7,27.2269,9045900,
2023-10-27,27.74,27.82,26.99,27.48,27.0106,8166300,
2023-10-30,27.44,27.67,26.81,27.16,26.6961,7619200,
2023-10-31,27.13,27.42,26.87,27.31,26.8435,8131700,
2023-11-01,27.45,27.63,27.03,27.11,26.647,9976600,
2023-11-02,26.48,28.04,25.93,28.02,27.5414,13574200,
2023-11-03,27.89,28.13,27.24,27.46,26.991,12898600,
2023-11-06,27.69,27.72,26.56,26.61,26.1555,9422600,
2023-11-07,26.11,26.13,25.42,25.53,25.0939,13193200,
2023-11-08,25.3,25.57,24.74,24.85,24.4256,12691300,
2023-11-09,25.0,25.35,24.79,24.8,24.3764,9548800,
2023-11-10,25.09,25.23,24.86,25.09,24.6615,7060000,
2023-11-13,25.11,25.23,24.89,25.08,24.6516,10467300,
2023-11-14,25.09,25.7,25.05,25.6,25.2736,7896600,
2023-11-15,25.58,25.95,25.38,25.41,25.086,7638600,
2023-11-16,24.97,25.15,24.3,24.75,24.4344,9444800,
2023-11-17,25.05,25.81,25.05,25.56,25.2341,11222100,
2023-11-20,25.81,26.13,25.57,25.57,25.244,8654700,
2023-11-21,25.35,25.45,25.06,25.31,24.9873,7359300,
2023-11-22,24.53,25.29,24.31,25.24,24.9182,7856600,
2023-11-24,25.24,25.59,25.22,25.35,25.0268,4542200,
2023-11-27,25.2,25.38,25.05,25.32,24.9972,9620300,
2023-11-28,25.42,25.59,25.2,25.32,24.9972,7220600,
2023-11-29,25.45,25.56,25.18,25.3,24.9774,8496700,
2023-11-30,25.65,26.25,25.1,25.43,25.1058,15874300,
2023-12-01,25.35,25.93,25.25,25.44,25.1156,6863500,
2023-12-04,25.1,25.41,25.0,25.06,24.7405,8269900,
2023-12-05,25.17,25.19,24.38,24.4,24.0889,8036400,
2023-12-06,24.12,24.41,23.53,23.54,23.2399,10053500,
2023-12-07,23.69,23.9,23.45,23.66,23.3583,9368900,
2023-12-08,23.9,24.12,23.79,24.09,23.7828,7812600,
2023-12-11,23.82,24.27,23.81,24.05,23.7434,7536500,
2023-12-12,23.69,23.69,23.14,23.35,23.0523,12939600,
2023-12-13,23.45,23.96,23.24,23.93,23.6249,11165100,
2023-12-14,24.3,24.72,24.26,24.44,24.1284,13035000,
2023-12-15,24.21,24.42,23.99,24.32,24.0099,23263500,
2023-12-18,25.0,25.14,24.52,24.57,24.2567,11468800,
2023-12-19,24.5,24.89,24.39,24.84,24.5233,11370500,
2023-12-20,24.9,25.1,24.45,24.47,24.158,10851500,
2023-12-21,24.54,24.76,24.47,24.71,24.3949,8750000,
2023-12-22,24.89,25.02,24.62,24.64,24.3258,5571100,
2023-12-26,24.91,25.3,24.85,25.15,24.8293,8221400,
2023-12-27,25.05,25.15,24.79,24.85,24.5332,6578200,
2023-12-28,24.69,24.76,24.37,24.38,24.0691,8010600,
2023-12-29,24.46,24.53,24.07,24.16,23.852,8615800,
2024-01-02,24.36,24.78,24.3,24.42,24.1086,8857500,
2024-01-03,24.4,25.03,24.2,24.93,24.6121,9894100,
2024-01-04,25.12,25.16,24.14,24.18,23.8717,9155500,
2024-01-05,24.42,24.51,24.11,24.39,24.079,11896200,
2024-01-08,23.77,23.91,23.38,23.74,23.4373,10604600,
2024-01-09,23.76,23.79,23.07,23.21,22.9141,7597800,
2024-01-10,23.15,23.18,22.68,22.85,22.5587,10251200,
2024-01-11,22.94,23.08,22.74,22.94,22.6475,8240000,
2024-01-12,23.4,23.52,23.19,23.4,23.1016,11787300,
2024-01-16,23.22,23.27,22.58,22.66,22.3711,11314200,
2024-01-17,22.29,22.56,22.19,22.32,22.0354,8342600,
2024-01-18,22.3,22.32,21.81,22.15,21.8676,10368600,
2024-01-19,22.06,22.28,21.9,22.27,21.9861,9687500,
2024-01-22,22.19,22.47,22.04,22.28,21.9959,8857900,
2024-01-23,22.25,22.58,22.16,22.37,22.0848,6720800,
2024-01-24,22.56,22.71,22.35,22.59,22.302,8453700,
2024-01-25,22.76,23.14,22.39,23.13,22.8351,10732700,
2024-01-26,23.09,23.25,22.72,23.21,22.9141,8570900,
2024-01-29,23.15,23.22,22.82,23.19,22.8943,7707800,
