date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,68.0,68.73,67.42,67.54,64.0534,7156359,
2023-09-18,68.02,68.32,67.08,68.19,64.6699,4689663,
2023-09-19,68.65,68.65,67.12,67.78,64.2811,4403288,
2023-09-20,67.7,68.22,66.96,67.01,63.5508,5947485,
2023-09-21,66.89,67.2199,65.555,65.99,62.5835,8689557,
2023-09-22,66.96,67.43,65.78,66.19,62.7731,15192810,
2023-09-25,65.7,66.895,65.52,66.54,63.1051,59253281,
2023-09-26,66.19,66.51,64.21,64.48,61.1514,8473853,
2023-09-27,64.85,65.135,64.185,64.51,61.1799,8827399,
2023-09-28,64.42,65.44,64.42,64.89,61.5402,8411721,
2023-09-29,64.94,65.0,63.16,63.43,60.1556,6587884,
2023-10-02,63.68,63.9099,61.61,61.85,58.6572,5811902,
2023-10-03,61.37,61.99,60.7,61.98,58.7805,6405174,
2023-10-04,61.13,61.7,60.58,61.35,58.183,5428799,
2023-10-05,60.8,62.635,60.79,62.44,59.2167,5458286,
2023-10-06,62.49,63.97,61.92,63.5,60.222,5106292,
2023-10-09,64.65,66.155,64.35,65.95,62.5455,5414215,
2023-10-10,65.91,66.98,65.91,66.86,63.4085,4060471,
2023-10-11,66.85,67.56,66.6,67.46,63.9776,3937032,
2023-10-12,67.82,68.4,67.59,68.1,64.5845,3669809,
2023-10-13,69.0,69.45,68.61,69.12,65.5519,3601112,
2023-10-16,69.5,70.33,69.28,70.07,66.4528,4143617,
2023-10-17,70.1,70.555,69.11,69.51,65.9217,4641198,
2023-10-18,69.51,69.75,68.455,68.64,65.0967,3802859,
2023-10-19,68.63,69.8,68.291,69.21,65.6372,4445204,
2023-10-20,68.96,69.04,67.255,67.58,64.0914,4004443,
2023-10-23,67.07,67.32,66.59,66.74,63.2947,3006729,
2023-10-24,66.95,67.29,66.31,66.6,63.162,2935573,
2023-10-25,66.55,66.96,65.97,66.27,62.849,2913243,
2023-10-26,65.53,66.7899,65.47,66.32,62.8964,2497997,
2023-10-27,66.43,66.43,65.035,65.44,62.0619,3265430,
2023-10-30,65.74,66.17,64.83,65.61,62.2231,3515535,
2023-10-31,64.52,65.2,64.09,65.2,62.7476,4062214,
2023-11-01,65.57,65.9563,64.0,64.54,62.1124,4952426,
2023-11-02,64.1,66.69,64.1,66.65,64.143,5098105,
2023-11-03,66.69,67.33,66.28,66.84,64.3259,3466851,
2023-11-06,67.14,67.24,66.15,66.28,63.787,2703860,
2023-11-07,65.42,65.68,64.58,64.7,62.2664,3465640,
2023-11-08,64.34,64.58,63.33,63.63,61.2366,2941373,
2023-11-09,64.42,64.425,63.81,63.83,61.4291,3344708,
2023-11-10,64.48,64.94,64.11,64.36,61.9392,3039694,
2023-11-13,64.17,64.93,63.77,64.66,62.2279,2912074,
2023-11-14,65.57,66.27,65.44,65.73,63.2576,3281201,
