date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,66.71,67.2,65.98,66.15,65.1827,23147953,
2023-09-18,67.13,67.1398,65.4725,66.32,65.3502,7746761,
2023-09-19,67.19,67.21,65.38,65.81,64.8477,8154374,
2023-09-20,65.37,65.96,64.23,64.25,63.3105,6735520,
2023-09-21,64.43,64.5896,62.54,62.56,61.6452,10259870,
2023-09-22,63.16,63.58,62.56,62.89,61.9704,7149549,
2023-09-25,62.65,63.34,62.53,63.16,62.2364,6233963,
2023-09-26,62.52,63.61,62.49,63.15,62.2266,6196263,
2023-09-27,64.5,65.91,64.15,65.6,64.6408,11679075,
2023-09-28,65.15,66.36,65.11,65.88,64.9167,9156750,
2023-09-29,65.95,66.0485,64.81,64.88,63.9313,10063323,
2023-10-02,65.0,65.07,61.685,62.3,61.389,10859859,
2023-10-03,61.96,62.79,61.71,62.46,61.5467,7765906,
2023-10-04,61.52,61.58,59.3369,60.04,59.1621,15878836,
2023-10-05,59.7,60.27,59.1,59.42,58.5511,10277962,
2023-10-06,59.8,61.935,59.7,61.4,60.5022,12539412,
2023-10-09,63.56,64.4,62.61,64.18,63.2415,17276631,
2023-10-10,63.94,64.38,63.522,63.98,63.0445,7885621,
2023-10-11,63.31,63.89,62.91,63.35,62.4237,11481195,
2023-10-12,63.76,63.89,62.72,63.22,62.2956,8634633,
2023-10-13,64.35,64.77,63.7552,64.37,63.4287,15382280,
2023-10-16,64.59,65.5155,64.13,65.37,64.4141,8005631,
2023-10-17,65.02,65.695,64.99,65.53,64.5718,7290612,
2023-10-18,65.73,66.95,65.73,66.5,65.5276,8930455,
2023-10-19,65.95,66.92,65.5,66.46,65.4882,8545783,
2023-10-20,66.27,66.74,65.085,65.18,64.2269,8296664,
2023-10-23,64.2,64.23,62.125,62.82,61.9014,16032377,
2023-10-24,63.18,63.3,62.315,62.53,61.6157,7462974,
2023-10-25,62.69,63.31,62.62,63.27,62.3448,6676070,
2023-10-26,62.92,63.67,62.57,63.27,62.3448,8717533,
2023-10-27,63.52,63.76,61.87,62.23,61.32,9197888,
2023-10-30,62.15,62.7098,61.36,61.67,60.7682,7252613,
2023-10-31,61.65,61.95,60.945,61.81,60.9062,5572716,
2023-11-01,62.15,62.48,61.3,61.36,60.4628,6285062,
2023-11-02,61.42,63.33,61.09,63.27,62.3448,7404211,
2023-11-03,62.97,63.44,62.21,63.01,62.0886,8661696,
2023-11-06,63.3,63.37,61.585,61.75,60.8471,8165888,
2023-11-07,60.84,61.01,60.02,60.2,59.3197,13014695,
2023-11-08,61.06,62.27,60.91,61.15,60.2558,11345097,
2023-11-09,61.52,61.9,60.56,60.58,59.6942,7046624,
2023-11-10,61.1,61.2299,60.1701,60.98,60.0883,7616762,
2023-11-13,61.09,61.65,60.85,61.61,60.7091,6830593,
2023-11-14,61.75,62.15,61.57,61.73,60.8274,6766886,
2023-11-15,61.67,62.22,61.29,61.3,60.4036,6789560,
2023-11-16,60.64,60.91,59.615,60.31,59.4281,10976561,
2023-11-17,60.85,61.57,60.555,60.96,60.0686,9185996,
