date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,121.97,122.47,120.34,121.03,117.1555,9312919,
2023-09-18,122.53,123.91,121.0,122.45,118.5301,2237463,
2023-09-19,123.4,123.48,119.07,120.22,116.3714,2970167,
2023-09-20,119.72,121.8,119.55,120.07,116.2262,2491645,
2023-09-21,122.42,123.84,119.69,119.94,116.1004,2732189,
2023-09-22,120.5,121.7,118.52,118.58,114.7839,2427225,
2023-09-25,118.5,120.6399,118.46,120.26,116.4102,2499087,
2023-09-26,119.2,120.28,118.6,119.42,115.5971,2350834,
2023-09-27,120.46,121.54,119.73,120.8,116.9329,2793805,
2023-09-28,120.49,123.47,120.39,123.38,119.4303,3294259,
2023-09-29,123.44,123.44,119.48,120.15,116.3037,2841901,
2023-10-02,120.09,120.3,118.19,119.02,115.2099,2445763,
2023-10-03,118.0,118.54,114.13,115.63,111.9284,2988368,
2023-10-04,113.16,113.3,108.6601,110.49,106.9529,4464181,
2023-10-05,108.78,111.17,108.59,109.48,105.9753,3206047,
2023-10-06,110.51,110.82,108.2,109.19,105.6945,2625538,
2023-10-09,111.06,111.655,109.34,111.21,107.6499,2769837,
2023-10-10,110.86,112.99,110.34,112.39,108.7921,2662275,
2023-10-11,111.42,112.49,110.16,112.13,108.5404,2035924,
2023-10-12,112.92,113.0,109.89,110.75,107.2046,1976849,
2023-10-13,112.46,112.74,110.48,110.6,107.0594,3393245,
2023-10-16,111.5,112.66,111.07,111.78,108.2016,2750191,
2023-10-17,111.68,113.98,111.68,113.91,110.2634,2471913,
2023-10-18,114.19,116.77,113.98,116.25,112.5285,3249740,
2023-10-19,116.15,116.36,114.625,115.19,111.5025,2091534,
2023-10-20,115.35,116.025,113.15,113.54,109.9053,2667169,
2023-10-23,113.31,113.585,112.02,113.05,109.431,2463535,
2023-10-24,113.53,113.695,111.89,111.93,108.3468,2331660,
2023-10-25,112.13,112.885,110.47,110.74,107.1949,2581248,
2023-10-26,109.86,110.54,108.09,110.1,106.5754,3517855,
2023-10-27,111.14,112.06,107.851,110.93,107.3788,5214890,
2023-10-30,112.22,113.505,109.86,112.44,108.8405,3194635,
2023-10-31,114.43,115.23,112.42,114.07,110.4183,3618684,
2023-11-01,114.85,117.09,113.74,116.09,112.3737,3343079,
2023-11-02,116.16,118.52,116.0,118.12,114.3387,2566872,
2023-11-03,117.76,118.34,115.27,116.79,113.0512,2524985,
2023-11-06,117.24,118.11,116.34,116.85,113.1093,2484723,
2023-11-07,115.33,115.47,113.21,113.86,110.215,2180700,
2023-11-08,113.05,113.8875,111.62,111.81,108.2307,2898607,
2023-11-09,111.81,112.93,110.54,110.63,107.0884,1802213,
2023-11-10,112.0,113.59,111.74,113.44,109.8085,2429424,
2023-11-13,113.5,114.64,113.25,114.15,110.4958,1487894,
2023-11-14,114.31,115.54,114.16,115.02,111.3379,2407969,
2023-11-15,114.56,116.92,114.25,115.49,111.7929,3203544,
2023-11-16,113.44,114.74,111.9,113.53,110.9039,4559639,
2023-11-17,114.17,117.38,114.17,116.37,113.6782,3354387,
2023-11-20,116.58,119.015,116.58,118.11,115.378,2877278,
2023-11-21,117.5,118.14,116.43,117.41,114.6942,2039391,
2023-11-22,115.89,118.21,114.94,118.01,115.2803,2211968,
2023-11-24,118.3,120.04,118.0,118.63,115.8859,1173601,
2023-11-27,118.23,118.87,117.315,118.33,115.5929,2447213,
2023-11-28,118.55,119.23,117.74,118.0,115.2705,1926431,
2023-11-29,123.0,123.87,121.3,122.22,119.3929,6873919,
2023-11-30,122.72,129.75,122.41,128.89,125.9086,9147416,
2023-12-01,128.5,131.26,127.75,129.7,126.6999,4757297,
2023-12-04,128.91,131.37,127.9,128.44,125.469,4842966,
2023-12-05,128.6,130.58,127.51,127.7,124.7461,3484550,
2023-12-06,126.84,127.86,124.63,125.0,122.1086,2952137,
2023-12-07,125.94,126.74,124.07,124.62,121.7374,3702197,
2023-12-08,125.42,126.4,123.29,125.32,122.4212,4102731,
2023-12-11,125.04,127.36,124.76,126.41,123.486,2976836,
2023-12-12,125.08,125.495,123.87,125.22,122.3235,3484854,
2023-12-13,125.01,127.42,123.38,127.16,124.2186,3054796,
2023-12-14,128.0,130.37,126.26,130.11,127.1004,4260304,
2023-12-15,127.94,130.18,127.72,129.87,126.8659,9648402,
2023-12-18,131.31,133.02,130.73,131.3,128.2629,2987703,
