date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,61.06,61.42,60.07,60.58,59.1803,19777100,
2023-09-18,61.0,61.78,60.82,61.21,59.7958,6232100,
2023-09-19,61.7,61.7,59.83,60.43,59.0338,9067700,
2023-09-20,60.13,61.04,59.75,59.79,58.4086,5351100,
2023-09-21,60.1,60.1,58.63,58.82,57.461,6841600,
2023-09-22,59.18,59.5,58.84,59.04,57.6759,5979000,
2023-09-25,58.93,59.88,58.74,59.84,58.4574,6279300,
2023-09-26,59.15,59.78,58.97,59.13,57.7638,5796100,
2023-09-27,60.0,61.07,59.58,60.8,59.3952,7663100,
2023-09-28,60.55,61.41,60.31,60.94,59.532,7574000,
2023-09-29,60.75,60.84,58.2,58.3,56.953,11278100,
2023-10-02,58.32,58.48,56.86,57.94,56.6013,7553600,
2023-10-03,57.5,58.64,57.2,58.61,57.2558,8407900,
2023-10-04,57.74,57.87,55.32,55.83,54.5401,10923300,
2023-10-05,55.53,56.46,55.12,55.4,54.12,7491800,
2023-10-06,55.58,56.22,54.81,55.7,54.4131,8642600,
2023-10-09,57.27,58.52,56.97,58.24,56.8944,6667700,
2023-10-10,58.32,58.98,57.95,58.62,57.2656,6608900,
2023-10-11,58.02,58.89,57.76,58.76,57.4024,5641100,
2023-10-12,59.48,59.62,57.78,58.37,57.0214,5023100,
2023-10-13,59.4,59.82,58.85,58.96,57.5977,6819500,
2023-10-16,59.41,59.74,58.78,59.45,58.0764,5949900,
2023-10-17,59.27,60.39,59.14,60.24,58.8482,6525000,
2023-10-18,60.36,61.2,60.35,60.59,59.1901,6964100,
2023-10-19,60.03,60.85,59.41,59.97,58.5844,7488400,
2023-10-20,59.22,60.2,56.74,58.21,56.8651,13100700,
2023-10-23,58.39,59.03,56.89,58.84,57.4805,9655500,
2023-10-24,58.94,59.05,56.97,57.0,55.683,8407100,
2023-10-25,56.88,57.27,55.72,56.62,55.3118,8571800,
2023-10-26,56.01,56.63,55.25,55.87,54.5791,8157500,
2023-10-27,56.0,56.18,55.02,55.83,54.5401,6944500,
2023-10-30,56.32,56.53,55.35,56.4,55.0969,6698000,
2023-10-31,56.11,56.5,55.44,55.66,54.374,8045900,
2023-11-01,56.0,56.7,55.62,55.86,54.5694,6197300,
2023-11-02,55.88,57.43,55.71,57.36,56.0347,5811800,
2023-11-03,57.41,57.75,56.59,56.87,55.556,5895900,
2023-11-06,57.41,57.47,56.2,56.48,55.175,5165500,
2023-11-07,55.35,55.5,53.0,53.33,52.0978,17838000,
2023-11-08,52.89,53.64,52.44,52.93,51.7071,13767100,
2023-11-09,53.13,53.53,52.58,52.74,51.5215,9278600,
2023-11-10,53.27,53.49,52.67,53.3,52.0685,9267900,
2023-11-13,53.3,54.36,53.03,54.0,52.7523,6853600,
2023-11-14,54.18,54.71,53.86,54.35,53.0943,6989700,
2023-11-15,54.32,54.71,53.44,53.68,52.4397,8328000,
2023-11-16,53.19,53.6,51.32,52.11,50.906,11053300,
2023-11-17,52.77,53.36,52.23,52.85,51.6289,14077300,
2023-11-20,53.44,53.44,52.6,52.74,51.5215,8086900,
2023-11-21,52.23,52.84,51.99,52.72,51.5019,6888800,
2023-11-22,51.57,52.73,50.78,52.52,51.3065,7941900,
2023-11-24,52.74,53.09,52.48,52.6,51.3847,3077600,
2023-11-27,52.48,52.64,51.75,52.55,51.3358,6371200,
2023-11-28,52.7,52.87,52.16,52.31,51.1014,5620900,
2023-11-29,52.7,52.76,51.48,51.87,50.6716,8002000,
2023-11-30,52.58,53.4,51.55,52.04,50.8376,11520300,
2023-12-01,51.98,53.09,51.73,52.39,51.1795,6377200,
2023-12-04,51.98,52.49,51.41,52.03,50.8279,7772600,
2023-12-05,51.66,51.74,50.5,50.61,49.6794,6902700,
2023-12-06,50.27,50.77,48.97,49.13,48.2266,13575300,
2023-12-07,49.39,49.41,48.09,48.46,47.5689,12955100,
2023-12-08,48.43,49.11,48.12,48.8,47.9027,13209200,
2023-12-11,49.0,49.63,48.83,49.15,48.2462,8820900,
2023-12-12,48.49,49.26,48.2,49.04,48.1382,8871400,
2023-12-13,49.32,49.61,48.44,49.19,48.2855,10502400,
2023-12-14,49.99,52.75,49.89,52.42,51.4561,19567600,
2023-12-15,52.08,52.5,51.61,52.19,51.2303,21720200,
2023-12-18,53.07,53.84,52.24,52.28,51.3187,9356700,
2023-12-19,52.43,53.07,52.27,52.98,52.0058,7351000,
2023-12-20,52.75,53.98,52.51,52.55,51.5837,6480200,
2023-12-21,52.5,53.03,52.21,52.58,51.6131,7470900,
2023-12-22,52.99,53.43,52.73,53.08,52.104,5115200,
2023-12-26,53.86,54.37,53.57,53.68,52.6929,5632300,
2023-12-27,53.48,53.98,52.88,53.03,52.0549,7132900,
2023-12-28,52.76,53.12,52.17,52.24,51.2794,6995300,
2023-12-29,52.25,52.4,51.77,52.04,51.0831,8641800,
2024-01-02,52.44,52.85,51.83,51.98,51.0242,12105200,
2024-01-03,51.87,53.0,51.66,52.65,51.6819,6572400,
2024-01-04,53.01,53.35,51.64,51.69,50.7395,8268800,
2024-01-05,51.93,52.63,51.7,51.86,50.9064,9827700,
2024-01-08,50.59,50.78,49.4,50.32,49.3947,16693600,
2024-01-09,50.12,50.12,48.5,48.56,47.6671,18420800,
2024-01-10,48.51,48.92,47.88,48.45,47.5591,17704900,
2024-01-11,48.77,48.85,48.33,48.8,47.9027,8783200,
2024-01-12,49.71,49.96,49.3,49.95,49.0315,12725600,
2024-01-16,49.86,50.14,48.23,48.3,47.4118,14966000,
2024-01-17,47.42,48.6,47.17,47.89,47.0094,12992700,
2024-01-18,47.9,48.81,47.71,48.56,47.6671,13695800,
2024-01-19,49.54,50.35,49.0,49.64,48.7272,20325300,
2024-01-22,49.56,51.36,49.37,50.68,49.7481,18491300,
2024-01-23,50.46,51.52,50.27,50.42,49.4929,11432900,
2024-01-24,50.8,51.76,50.57,51.67,50.7199,10498000,
2024-01-25,52.09,52.49,51.33,52.47,51.5052,11845300,
2024-01-26,52.41,53.24,52.31,52.92,51.9469,9172000,
2024-01-29,52.78,53.23,52.4,53.2,52.2217,10072600,
2024-01-30,48.88,49.57,47.75,49.35,48.4425,47358300,
2024-01-31,49.45,49.69,48.25,48.7,47.8045,26286300,
2024-02-01,49.05,49.57,48.36,49.0,48.099,18539700,
2024-02-02,48.9,49.18,48.49,49.0,48.099,19020300,
2024-02-05,48.69,49.08,48.24,48.55,47.6573,18305800,
2024-02-06,48.47,48.61,47.82,48.01,47.3956,12807900,
2024-02-07,48.22,48.36,47.1,47.45,46.8428,11848000,
2024-02-08,47.3,47.93,47.11,47.79,47.1785,12157800,
2024-02-09,47.57,47.85,46.91,47.08,46.4775,8258300,
2024-02-12,47.55,48.62,47.47,48.14,47.524,13460800,
2024-02-13,48.06,48.3,47.0,47.58,46.9711,11578800,
2024-02-14,48.02,48.02,47.24,47.75,47.139,9389200,
2024-02-15,47.85,48.87,47.74,48.58,47.9583,9901900,
2024-02-16,48.7,48.89,48.26,48.57,47.9485,6360500,
2024-02-20,48.51,48.89,48.26,48.52,47.8991,10236400,
2024-02-21,48.78,49.28,48.59,49.21,48.5803,9695300,
2024-02-22,49.17,49.6,48.83,49.26,48.6296,8047900,
2024-02-23,48.88,49.07,48.42,48.82,48.1953,7420700,
2024-02-26,48.7,49.02,48.41,48.56,47.9386,5793800,
2024-02-27,48.93,49.01,48.16,48.46,47.8399,8009200,
2024-02-28,48.24,48.74,47.95,48.16,47.5437,6991600,
2024-02-29,48.57,48.88,48.13,48.33,47.7115,12542800,
2024-03-01,49.0,49.72,48.81,49.35,48.7185,7879300,
2024-03-04,49.55,49.96,49.01,49.42,48.7876,7684100,
2024-03-05,49.21,50.04,49.21,49.66,49.0245,6684300,
