date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,85.33,86.02,84.3,84.66,82.67,3711582,
2023-09-18,85.37,85.84,84.29,85.66,83.6465,1200948,
2023-09-19,86.4,86.67,84.62,85.15,83.1485,1168414,
2023-09-20,85.36,86.36,85.3,85.43,83.4219,1229816,
2023-09-21,85.58,85.59,83.06,83.07,81.1174,1244783,
2023-09-22,83.7,85.16,83.7,84.44,82.4552,1283050,
2023-09-25,84.22,86.005,84.22,85.32,83.3145,1498711,
2023-09-26,84.5,85.31,84.11,84.35,82.3673,1661736,
2023-09-27,85.31,87.12,85.0,86.59,84.5546,1650399,
2023-09-28,86.52,88.01,86.405,87.44,85.3847,1467235,
2023-09-29,87.22,87.43,85.42,85.72,83.7051,1778490,
2023-10-02,85.52,85.71,82.9062,83.43,81.4689,1591207,
2023-10-03,83.11,83.38,80.98,82.07,80.1409,2622147,
2023-10-04,81.04,81.07,78.5,79.23,77.3676,2904893,
2023-10-05,77.97,80.295,77.97,80.15,78.266,2418274,
2023-10-06,80.32,82.09,79.79,81.29,79.3792,1924647,
2023-10-09,83.22,83.555,82.13,83.14,81.1857,1675647,
2023-10-10,83.05,83.69,82.58,83.2,81.2443,1509951,
2023-10-11,82.77,85.59,82.77,85.5,83.4903,1834162,
2023-10-12,86.25,86.28,84.74,85.52,83.5098,1507824,
2023-10-13,86.91,87.78,86.19,87.22,85.1698,1268307,
2023-10-16,87.88,88.2,86.58,87.93,85.8631,1188142,
2023-10-17,87.91,88.78,87.42,87.85,85.785,1215101,
2023-10-18,88.19,88.34,87.36,87.51,85.453,1043207,
2023-10-19,87.53,88.73,86.64,87.71,85.6483,938423,
2023-10-20,87.45,87.83,86.43,86.69,84.6523,1486147,
2023-10-23,86.0,86.79,85.41,86.4,84.3691,1656854,
2023-10-24,86.92,86.94,84.99,85.49,83.4805,2111995,
2023-10-25,85.49,85.94,84.99,85.35,83.3438,994068,
2023-10-26,84.56,86.34,83.96,85.71,83.6953,1327363,
2023-10-27,85.59,85.79,83.81,84.39,82.4063,1048852,
2023-10-30,84.43,85.29,82.54,83.6,82.1215,1621603,
2023-10-31,83.82,84.22,82.895,83.61,82.1313,1549351,
2023-11-01,84.56,84.945,83.43,84.15,82.6617,2353563,
2023-11-02,83.4,90.5,82.97,90.25,88.6539,4189978,
2023-11-03,90.11,90.64,87.6,88.12,86.5615,3436838,
2023-11-06,88.35,89.29,87.15,87.54,85.9918,2196551,
2023-11-07,86.2,86.92,84.74,85.52,84.0075,2277423,
2023-11-08,84.77,85.18,83.33,83.38,81.9054,2148869,
2023-11-09,83.97,84.49,83.2,83.69,82.2099,1913215,
2023-11-10,84.99,84.99,83.715,84.56,83.0645,1503849,
2023-11-13,84.6,85.44,84.43,84.91,83.4083,1188760,
2023-11-14,85.76,86.77,85.57,86.43,84.9014,1290834,
2023-11-15,86.37,87.85,86.25,86.27,84.7443,3314319,
2023-11-16,85.44,86.18,83.31,83.85,82.3671,1817706,
2023-11-17,84.8,86.55,84.58,86.02,84.4987,1400669,
2023-11-20,86.61,87.26,86.14,86.88,85.3435,1464579,
2023-11-21,86.66,87.658,85.78,87.56,86.0114,1260383,
2023-11-22,86.08,87.28,85.275,87.22,85.6775,1442025,
2023-11-24,87.55,88.435,86.8,87.84,86.2865,617083,
2023-11-27,87.63,88.36,87.19,87.97,86.4142,1206521,
2023-11-28,88.3,88.82,87.5,87.5,85.9525,1136195,
2023-11-29,88.04,88.53,87.56,88.01,86.4535,1352014,
2023-11-30,88.52,90.73,88.385,90.45,88.8503,5103737,
2023-12-01,90.16,91.435,90.0,90.16,88.5655,1288239,
2023-12-04,89.48,90.66,89.095,89.31,87.7305,2168419,
2023-12-05,89.03,89.21,87.39,87.75,86.1981,1436014,
2023-12-06,87.28,88.02,85.52,85.63,84.1156,1915603,
2023-12-07,85.85,85.98,83.95,84.72,83.2217,1607856,
2023-12-08,85.19,86.73,85.09,86.56,85.0291,1204748,
2023-12-11,86.54,86.96,85.44,85.66,84.145,1241345,
2023-12-12,84.84,84.86,83.26,84.44,82.9466,1564805,
2023-12-13,84.58,85.19,83.31,84.85,83.3494,1513151,
2023-12-14,85.8,87.1,85.57,86.28,84.7541,1525487,
2023-12-15,85.44,85.765,84.165,85.41,83.8995,3496577,
2023-12-18,87.07,87.56,85.74,85.98,84.4594,1181727,
2023-12-19,86.15,86.8,85.8969,86.27,84.7443,1373376,
2023-12-20,86.23,87.18,85.65,85.78,84.2629,1146463,
2023-12-21,86.18,87.16,85.61,87.11,85.5694,1028621,
2023-12-22,87.54,87.82,86.47,86.71,85.1765,874189,
2023-12-26,87.3,87.865,86.88,87.55,86.0016,658013,
2023-12-27,87.3,88.03,86.63,87.06,85.5203,695469,
2023-12-28,86.78,87.46,86.28,86.35,84.8228,917478,
2023-12-29,86.47,86.95,86.08,86.87,85.3336,1256614,
2024-01-02,87.3,87.95,86.1,86.42,84.8916,1434457,
2024-01-03,86.24,87.95,85.975,87.75,86.1981,1461886,
2024-01-04,88.48,89.16,86.17,86.25,84.7246,1313786,
2024-01-05,86.67,86.83,85.249,85.79,84.2727,1476616,
2024-01-08,84.3,84.47,81.95,84.35,82.8582,2395120,
2024-01-09,84.22,84.29,82.81,83.6,82.1215,1935397,
2024-01-10,83.97,83.97,82.8,83.81,82.3278,1436717,
2024-01-11,83.94,84.36,82.37,83.23,81.758,1436559,
2024-01-12,84.83,84.925,83.12,83.82,82.3376,909624,
2024-01-16,83.37,83.48,82.19,82.53,81.0704,1386197,
2024-01-17,81.76,82.87,81.43,81.49,80.0488,1383198,
2024-01-18,81.35,83.01,81.03,82.59,81.1293,2369654,
2024-01-19,82.77,82.77,81.67,82.49,81.0311,1373085,
2024-01-22,82.49,83.935,82.13,83.81,82.3278,1630433,
2024-01-23,83.7,84.395,82.85,83.23,81.758,1162865,
2024-01-24,83.89,84.6797,83.35,83.98,82.4948,1141084,
2024-01-25,84.51,86.01,84.0,85.99,84.4692,1747877,
2024-01-26,85.88,86.84,85.71,86.81,85.2747,1216470,
2024-01-29,86.65,86.75,85.17,86.48,84.9505,1058663,
2024-01-30,85.35,87.17,85.25,87.04,85.9979,995399,
2024-01-31,87.32,87.32,84.86,84.96,83.9428,1088596,
2024-02-01,85.41,86.59,84.8,86.04,85.0098,1872508,
2024-02-02,85.83,86.48,84.33,85.98,84.9505,1703416,
2024-02-05,85.75,85.95,84.4333,85.57,84.5455,1650301,
2024-02-06,85.74,86.32,85.41,86.22,85.1877,2364047,
2024-02-07,86.65,87.07,85.73,87.05,86.0077,1544810,
2024-02-08,87.0,88.0,86.56,87.9,86.8476,1382625,
2024-02-09,88.06,88.63,87.06,87.09,86.0473,1358128,
2024-02-12,87.37,88.52,87.37,88.51,87.4502,1448170,
2024-02-13,88.42,88.975,87.44,88.44,87.3811,1902795,
2024-02-14,88.97,89.6,87.92,88.34,87.2823,2358076,
2024-02-15,89.55,93.49,88.5,93.27,92.1533,5223618,
