date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,144.73,145.312,143.08,143.68,139.547,8067973,
2023-09-18,145.42,148.42,144.8,146.28,142.0722,4418418,
2023-09-19,147.68,147.8,141.88,142.66,138.5563,4568950,
2023-09-20,142.5,145.51,142.2796,142.97,138.8574,3720415,
2023-09-21,148.59,152.2,144.87,146.3,142.0916,6814025,
2023-09-22,147.57,149.68,145.09,145.27,141.0912,4114807,
2023-09-25,145.27,147.648,145.0,146.54,142.3247,3241861,
2023-09-26,145.02,145.1929,140.79,141.58,137.5074,4936809,
2023-09-27,142.75,144.92,142.15,143.95,139.8092,3643911,
2023-09-28,143.53,148.28,143.53,147.18,142.9463,3587272,
2023-09-29,147.15,147.3,141.09,141.71,137.6336,4302381,
2023-10-02,141.71,142.2,137.08,138.09,134.1178,4109678,
2023-10-03,137.01,137.01,130.7601,133.58,129.7375,5762095,
2023-10-04,131.27,131.27,127.04,128.67,124.9687,4097008,
2023-10-05,127.47,129.57,126.25,127.48,123.813,3399518,
2023-10-06,129.45,129.96,125.68,126.53,122.8903,2829540,
2023-10-09,127.96,128.27,123.62,126.95,123.2982,3798919,
2023-10-10,127.01,130.65,126.32,130.21,126.4644,3998884,
2023-10-11,128.99,130.6099,128.455,129.6,125.872,3012255,
2023-10-12,129.5,129.9,125.2,126.23,122.5989,3961728,
2023-10-13,127.0,128.0,125.65,126.05,122.4241,3826148,
2023-10-16,127.35,129.96,126.435,129.2,125.4835,2851978,
2023-10-17,128.94,131.27,128.94,130.72,126.9598,2277867,
2023-10-18,130.53,135.3125,130.48,134.03,130.1745,3780419,
2023-10-19,133.57,134.44,131.1201,132.42,128.6109,2998627,
2023-10-20,132.57,133.5799,130.86,131.18,127.4065,3075851,
2023-10-23,131.18,131.335,128.67,130.73,126.9695,2748975,
2023-10-24,131.4,132.6,128.72,128.8,125.095,2913443,
2023-10-25,128.69,130.3476,126.43,126.86,123.2108,3056167,
2023-10-26,126.0,126.745,121.175,125.36,121.7539,3992585,
