date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,34.36,34.83,34.29,34.34,32.7379,10846500,
2023-09-18,34.48,34.54,34.09,34.43,32.8237,4554900,
2023-09-19,34.69,34.69,34.09,34.29,32.6902,5109500,
2023-09-20,34.19,34.53,34.19,34.29,32.6902,4624500,
2023-09-21,34.39,34.42,33.36,33.45,31.8894,5504300,
2023-09-22,33.6,33.89,33.49,33.62,32.0515,5599700,
2023-09-25,33.52,34.03,33.49,33.96,32.3756,4871000,
2023-09-26,33.68,33.87,33.49,33.58,32.0134,7772700,
2023-09-27,33.81,34.28,33.7,34.1,32.5091,5594800,
2023-09-28,34.15,34.66,34.13,34.41,32.8046,5824400,
2023-09-29,34.42,34.46,33.5,33.69,32.1182,7513300,
2023-10-02,33.54,33.67,32.83,32.93,31.3937,6753100,
2023-10-03,32.8,32.98,32.49,32.97,31.4318,7948300,
2023-10-04,32.95,33.19,32.59,32.93,31.3937,8409900,
2023-10-05,32.64,33.5,32.63,33.36,31.8036,6924200,
2023-10-06,33.22,33.89,32.92,33.68,32.1087,5788500,
2023-10-09,34.24,34.46,34.03,34.36,32.757,4680300,
2023-10-10,34.33,34.56,34.17,34.42,32.8142,4625200,
2023-10-11,34.24,34.71,34.19,34.69,33.0716,4290600,
2023-10-12,34.89,34.95,34.57,34.8,33.1764,4564100,
2023-10-13,35.09,35.4,34.94,35.19,33.5482,5212200,
2023-10-16,35.41,35.89,35.24,35.73,34.063,6400100,
2023-10-17,35.73,36.22,35.66,35.9,34.2251,8399300,
2023-10-18,35.93,36.0,35.2,35.65,33.9868,7404900,
2023-10-19,35.68,36.09,35.47,35.57,33.9105,5424100,
2023-10-20,35.5,35.52,34.78,34.92,33.2908,9725800,
2023-10-23,34.67,34.98,34.47,34.84,33.2146,4343800,
2023-10-24,35.0,35.05,34.35,34.46,32.8523,8847000,
2023-10-25,34.51,34.78,34.44,34.46,32.8523,5239700,
2023-10-26,34.19,34.76,34.12,34.58,32.9667,5014200,
2023-10-27,34.5,34.53,33.89,34.05,32.4614,5468800,
2023-10-30,34.25,34.44,33.73,34.23,32.633,5000400,
2023-10-31,34.4,34.58,34.13,34.4,32.7951,6446900,
2023-11-01,34.52,35.08,34.29,34.72,33.1002,6094700,
2023-11-02,34.67,35.82,33.8,35.79,34.1203,8445100,
2023-11-03,36.0,36.21,35.75,36.08,34.3967,5508000,
2023-11-06,36.26,36.32,35.67,35.75,34.0821,4660000,
2023-11-07,35.5,35.5,35.14,35.3,33.6531,6088700,
2023-11-08,35.28,35.44,34.92,35.12,33.4815,5837200,
2023-11-09,35.25,35.38,34.82,34.84,33.2146,6702900,
2023-11-10,35.15,35.2,34.7,34.88,33.2527,6033600,
2023-11-13,34.84,35.07,34.63,34.93,33.3004,4202800,
2023-11-14,35.0,35.51,34.99,35.29,33.6436,5335700,
2023-11-15,35.34,35.77,35.25,35.38,33.7294,9133300,
2023-11-16,35.21,35.46,34.65,34.75,33.1288,7654000,
2023-11-17,35.02,35.67,34.88,35.43,33.777,9538000,
2023-11-20,35.48,35.84,35.38,35.61,33.9486,4795000,
2023-11-21,35.6,35.97,35.32,35.95,34.2728,5281800,
2023-11-22,35.59,36.25,35.46,36.23,34.5397,4168300,
2023-11-24,36.24,36.49,36.03,36.32,34.6255,2022500,
2023-11-27,36.24,36.4,36.13,36.39,34.6923,4607500,
2023-11-28,36.51,36.69,36.33,36.33,34.6351,5705100,
2023-11-29,36.43,36.64,36.28,36.44,34.7399,5032300,
2023-11-30,36.56,37.07,36.45,36.79,35.0736,13200800,
2023-12-01,36.74,37.45,36.68,37.28,35.5407,6282300,
2023-12-04,37.0,37.32,36.9,36.99,35.2643,5203800,
2023-12-05,36.96,37.0,36.18,36.26,34.5683,6247600,
2023-12-06,36.07,36.43,35.75,35.84,34.1679,7445800,
2023-12-07,35.55,35.66,34.63,34.93,33.7214,9664600,
2023-12-08,35.11,35.65,35.06,35.52,34.291,5501600,
2023-12-11,35.42,35.46,34.67,34.89,33.6828,8260400,
2023-12-12,34.71,34.78,34.25,34.41,33.2194,8969800,
2023-12-13,34.44,34.67,34.01,34.66,33.4608,7446800,
2023-12-14,35.0,35.15,34.62,34.66,33.4608,10269300,
2023-12-15,34.5,34.67,34.09,34.62,33.4221,19467100,
2023-12-18,35.03,35.33,34.66,34.7,33.4994,6104800,
2023-12-19,34.75,35.15,34.59,35.07,33.8566,5047600,
2023-12-20,34.97,35.3,34.61,34.67,33.4704,5585200,
2023-12-21,34.81,34.99,34.56,34.97,33.76,5959200,
2023-12-22,35.17,35.38,35.06,35.14,33.9242,5506000,
2023-12-26,35.23,35.38,35.08,35.12,33.9048,3461900,
2023-12-27,35.03,35.28,34.9,35.03,33.818,4289100,
2023-12-28,35.0,35.21,34.82,34.93,33.7214,4064100,
2023-12-29,35.03,35.03,34.74,34.83,33.6249,3686500,
2024-01-02,34.95,35.52,34.94,35.52,34.291,6379100,
2024-01-03,35.52,36.53,35.39,36.31,35.0537,8678400,
2024-01-04,36.6,36.69,35.73,35.82,34.5806,5408900,
2024-01-05,35.89,35.96,35.27,35.55,34.32,6265700,
2024-01-08,35.2,35.67,34.72,35.65,34.4165,6596000,
2024-01-09,35.54,35.67,35.08,35.42,34.1945,10481700,
2024-01-10,35.4,35.51,35.14,35.23,34.011,6185300,
2024-01-11,35.25,35.3,34.38,34.78,33.5766,7040800,
2024-01-12,35.25,35.46,34.76,34.92,33.7118,6629100,
2024-01-16,34.82,34.94,34.49,34.57,33.3739,7966500,
2024-01-17,34.23,34.61,33.95,33.99,32.8139,7429700,
2024-01-18,33.94,34.09,33.61,33.85,32.6788,7417400,
2024-01-19,34.06,34.06,33.48,33.86,32.6884,7492100,
2024-01-22,33.86,34.07,33.66,33.97,32.7946,6714500,
2024-01-23,33.91,34.1,33.72,33.95,32.7753,4441700,
