date,open,high,low,close,adjusted_close,volume,warning
2023-09-15,117.9,118.51,116.5,116.7,112.7468,34568391,
2023-09-18,117.53,118.24,116.7,117.64,113.655,14045310,
2023-09-19,118.62,118.84,116.61,117.33,113.3555,12569720,
2023-09-20,116.54,118.02,116.32,116.4,112.457,11883210,
2023-09-21,116.98,117.37,114.6,114.76,110.8725,14409640,
2023-09-22,115.705,116.68,114.805,114.94,111.0464,13200210,
2023-09-25,115.09,116.645,114.83,116.23,112.2927,11316010,
2023-09-26,115.5,116.73,115.37,116.41,112.4666,11805430,
2023-09-27,117.89,120.5,117.4,120.2,116.1283,23976160,
2023-09-28,119.98,120.7,118.19,119.47,115.423,16808119,
2023-09-29,119.1,119.18,116.733,117.58,113.597,18813570,
2023-10-02,117.53,117.79,114.55,115.63,111.7131,14395000,
2023-10-03,115.44,116.44,115.0341,115.83,111.9063,13297060,
2023-10-04,114.05,114.09,110.5018,111.5,107.723,19622230,
2023-10-05,109.8,110.9,108.7,108.99,105.298,20128779,
2023-10-06,105.73,108.27,105.11,107.17,103.5396,25367471,
2023-10-09,110.44,112.07,109.52,110.92,107.1626,22369891,
2023-10-10,111.02,111.45,110.12,110.45,106.7085,13891950,
2023-10-11,106.96,107.17,104.83,106.49,102.8827,57939020,
2023-10-12,107.59,107.84,106.09,106.47,102.8634,31182961,
2023-10-13,108.03,110.2,107.84,109.87,106.1482,30290330,
2023-10-16,110.5,110.68,109.13,109.95,106.2255,18452000,
2023-10-17,109.73,111.8,109.68,111.39,107.6167,19775439,
2023-10-18,111.82,113.39,111.7,112.95,109.1239,23380270,
2023-10-19,112.72,113.965,111.325,113.02,109.1915,20972490,
2023-10-20,112.92,113.32,110.79,111.08,107.3172,22445270,
2023-10-23,110.63,110.96,108.675,109.45,105.7424,18184949,
2023-10-24,109.7,109.82,108.12,108.39,104.7183,16786109,
2023-10-25,108.52,109.5,108.13,108.59,104.9115,22047320,
2023-10-26,107.45,108.34,106.495,107.6,103.9551,18768289,
2023-10-27,108.89,109.86,104.96,105.55,101.9745,23092020,
2023-10-30,105.74,106.42,105.2122,105.88,102.2933,19379920,
2023-10-31,105.58,106.16,104.54,105.85,102.2644,22185150,
2023-11-01,106.53,107.165,105.46,105.64,102.0615,28984869,
2023-11-02,105.88,109.19,105.5,109.11,105.4139,25212689,
2023-11-03,108.4,108.78,106.54,107.78,104.129,30555551,
2023-11-06,108.17,108.27,105.77,105.87,102.2837,19097270,
2023-11-07,104.47,104.86,103.29,104.21,100.6799,20272490,
2023-11-08,103.73,104.9,102.89,102.93,99.4433,19184070,
2023-11-09,103.67,103.97,102.855,102.96,99.4723,18380539,
2023-11-10,103.93,104.41,102.905,103.75,100.2355,17831340,
2023-11-13,104.05,105.135,103.805,104.84,101.2886,15308380,
2023-11-14,104.3,104.815,103.87,104.29,101.6786,18260520,
2023-11-15,103.96,105.15,103.5,103.66,101.0643,20137561,
2023-11-16,102.9,103.27,101.15,102.46,99.8944,22469070,
2023-11-17,103.06,105.43,102.75,104.96,102.3318,22991820,
2023-11-20,105.38,105.88,104.43,104.5,101.8833,17464020,
2023-11-21,104.21,104.695,103.215,104.46,101.8443,14988980,
2023-11-22,102.58,104.12,101.94,104.01,101.4056,18073240,
2023-11-24,104.02,105.465,103.91,104.57,101.9516,9480768,
2023-11-27,104.1,104.4,103.18,103.96,101.3568,18013520,
2023-11-28,104.24,104.91,103.88,103.9,101.2983,20629510,
2023-11-29,104.27,104.58,101.64,102.34,99.7774,26802090,
2023-11-30,103.11,104.4778,101.81,102.74,100.1674,29254689,
2023-12-01,102.5,104.22,102.22,102.99,100.4111,17845279,
2023-12-04,102.13,103.36,101.59,102.43,99.8651,21523939,
2023-12-05,102.27,102.34,100.29,100.44,97.925,22250250,
2023-12-06,100.0,100.72,98.34,99.11,96.6283,31154789,
2023-12-07,99.86,100.835,98.09,98.42,95.9555,29990730,
2023-12-08,99.02,99.7867,98.75,99.55,97.0573,22074949,
2023-12-11,99.8,99.86,98.58,99.62,97.1255,22252250,
2023-12-12,98.68,98.68,97.48,98.05,95.5948,26083961,
2023-12-13,98.04,99.03,97.655,98.92,96.443,19915439,
2023-12-14,99.85,102.135,99.72,101.58,99.0364,26165650,
2023-12-15,100.59,101.0,100.31,100.9,98.3734,55527020,
2023-12-18,102.13,103.11,101.52,101.65,99.1047,21610430,
2023-12-19,102.0,103.19,101.79,102.99,100.4111,18904660,
2023-12-20,103.5,103.94,101.125,101.27,98.7342,20988859,
2023-12-21,101.47,102.005,100.805,101.73,99.1827,19250930,
2023-12-22,102.31,102.94,101.82,101.91,99.3582,12927830,
2023-12-26,102.74,103.03,102.115,102.14,99.5824,16835141,
2023-12-27,102.04,102.55,101.335,101.66,99.1144,14558830,
2023-12-28,101.39,101.61,100.13,100.19,97.6812,16329250,
2023-12-29,100.37,100.59,99.62,99.98,97.4765,17746410,
2024-01-02,100.92,103.1,100.85,102.36,99.7969,23483051,
2024-01-03,102.27,103.62,101.66,103.22,100.6354,23490779,
2024-01-04,104.08,104.57,102.05,102.32,99.7579,19395150,
2024-01-05,103.17,103.3987,102.125,102.63,100.0601,15827390,
2024-01-08,100.73,101.04,98.9,100.92,98.3929,23370131,
2024-01-09,101.29,101.29,99.19,99.67,97.1742,19496650,
2024-01-10,99.8,99.8,98.16,98.69,96.2188,18206090,
2024-01-11,99.04,99.5,98.56,98.67,96.1993,15833360,
2024-01-12,100.14,100.65,99.1703,99.95,97.4472,18041680,
2024-01-16,99.82,100.01,97.53,97.69,95.2438,20235699,
2024-01-17,96.6,97.96,96.58,96.98,94.5516,18384020,
2024-01-18,97.0,97.09,95.82,96.8,94.3761,20940279,
2024-01-19,96.72,97.0156,96.41,96.95,94.5224,20088430,
2024-01-22,96.7,97.095,95.77,96.82,94.3956,19955949,
2024-01-23,96.81,98.5,96.73,97.91,95.4583,15863430,
2024-01-24,98.32,99.65,97.74,99.6,97.106,17330650,
2024-01-25,100.31,102.18,99.615,102.13,99.5726,22089510,
2024-01-26,101.97,103.08,101.1901,103.0,100.4209,20817240,
2024-01-29,102.98,103.2,101.86,103.13,100.5476,18317551,
2024-01-30,102.41,104.88,102.1,104.85,102.2245,19610930,
2024-01-31,104.74,104.88,102.7714,102.81,100.2356,22415289,
2024-02-01,103.57,104.01,101.62,102.39,99.8261,19240689,
2024-02-02,103.75,104.0,101.611,101.97,99.4167,21973410,
2024-02-05,101.45,102.38,100.5,101.55,99.0072,17190891,
2024-02-06,102.07,103.04,101.57,102.25,99.6896,13353290,
2024-02-07,102.25,102.73,101.18,102.22,99.6604,13826830,
2024-02-08,102.34,104.42,102.11,103.97,101.3666,19636900,
2024-02-09,104.1,104.84,101.7,101.77,99.2217,20410510,
2024-02-12,102.16,103.4,102.0,103.17,100.5866,18173061,
2024-02-13,102.76,103.09,100.6,101.34,99.7207,18917430,
2024-02-14,101.87,102.615,100.42,100.84,99.2287,17651250,
2024-02-15,100.6,103.935,100.6,103.73,102.0725,23196311,
2024-02-16,104.01,104.63,103.52,103.73,102.0725,20151430,
2024-02-20,103.84,104.12,102.645,102.75,101.1081,17650010,
2024-02-21,103.02,104.98,102.99,104.85,103.1746,20999189,
2024-02-22,104.16,105.41,103.45,104.76,103.086,20470670,
2024-02-23,103.88,104.09,102.88,103.84,102.1807,15975890,
2024-02-26,103.72,104.935,103.05,104.25,102.5842,13360800,
2024-02-27,104.68,105.15,103.85,104.03,102.3677,16359980,
2024-02-28,104.47,105.43,104.0,104.32,102.6531,14810490,
2024-02-29,104.675,105.07,104.215,104.52,102.8499,17566070,
2024-03-01,105.72,106.39,105.375,105.84,104.1488,18460119,
2024-03-04,105.66,105.85,104.03,104.36,102.6924,18137990,
2024-03-05,104.53,106.27,104.32,105.64,103.952,19952711,
2024-03-06,106.62,107.57,106.15,106.77,105.0639,20472789,
2024-03-07,106.6,107.98,106.6,107.37,105.6543,15195410,
2024-03-08,107.23,108.4,106.77,108.38,106.6482,16281470,
2024-03-11,108.25,109.12,107.34,109.02,107.2779,17577289,
2024-03-12,109.06,109.28,108.025,108.32,106.5891,14957250,
2024-03-13,109.14,110.35,109.1101,109.53,107.7798,17122240,
2024-03-14,109.83,111.55,109.69,111.47,109.6888,22121010,
2024-03-15,110.85,112.3,110.85,111.27,109.492,38264398,
2024-03-18,111.79,112.86,111.1,112.3,110.5055,16770461,
2024-03-19,112.22,113.485,112.06,113.09,111.2829,14878760,
2024-03-20,112.72,113.4,112.13,112.99,111.1845,16119700,
2024-03-21,112.92,113.91,112.57,113.49,111.6765,14878020,
2024-03-22,113.48,113.685,112.8239,113.49,111.6765,14701930,
2024-03-25,113.83,115.775,113.83,114.65,112.818,14011730,
2024-03-26,114.66,114.98,113.41,113.79,111.9717,13152290,
2024-03-27,113.48,115.06,113.41,114.97,113.1329,12415670,
2024-03-28,115.53,116.45,115.06,116.24,114.3826,18482061,
2024-04-01,116.41,117.24,115.38,116.99,115.1206,13817000,
2024-04-02,117.92,119.6,117.33,119.28,117.374,19919641,
2024-04-03,119.48,119.7479,118.73,119.3,117.3937,16504311,
2024-04-04,119.05,119.88,118.64,119.72,117.807,18467359,
2024-04-05,119.98,122.15,119.64,121.37,119.4306,21720590,
2024-04-08,121.08,121.735,120.205,120.55,118.6237,17513939,
2024-04-09,121.0,121.6492,120.34,121.18,119.2436,14135720,
2024-04-10,121.22,122.47,120.73,122.2,120.2473,17409180,
2024-04-11,122.69,122.69,120.34,121.79,119.8439,17555869,
2024-04-12,122.95,123.75,119.67,120.37,118.4466,21556221,
2024-04-15,121.09,121.69,119.45,119.68,117.7676,15029530,
2024-04-16,119.555,120.22,117.92,118.69,116.7934,18082230,
2024-04-17,118.55,119.35,117.12,118.63,116.7344,14538580,
2024-04-18,119.0,119.72,117.97,118.52,116.6261,13821360,
2024-04-19,119.155,120.925,118.95,119.88,117.9644,21572369,
2024-04-22,119.26,121.565,118.43,120.56,118.6335,16340690,
2024-04-23,120.0,121.06,119.45,121.03,119.096,13929820,
2024-04-24,120.3,121.255,119.39,121.05,119.1157,12101160,
